"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fund_expenditure_type","fares_and_other_directly","fares_and_other_directly_1","taxes_fees_levied_by_transit","taxes_fees_levied_by_transit_1","local","local_questionable","state_1","state_questionable","federal","federal_questionable","total","total_questionable"
"City of Washington, dba: Washington Transit System","Washington","IN","50302","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Washington, dba: Washington Transit System","Washington","IN","50302","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","Funds Expended on Operations","2075",,"0",,"58909",,"28522",,"87427",,"176933",
"City of River Falls, dba: River Falls Taxi Service","River Falls","WI","50303","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Operations","54504",,"0",,"111193",,"39992",,"151185",,"356874",
"City of River Falls, dba: River Falls Taxi Service","River Falls","WI","50303","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Capital","0",,"0",,"11770",,"0",,"47082",,"58852",
"Fulton County, dba: Fulton County Rural Transit","Lewistown","IL","50304","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Fulton County, dba: Fulton County Rural Transit","Lewistown","IL","50304","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Operations","19440",,"0",,"62497",,"378480",,"121861",,"582278",
"LaGrange County Council on Aging, dba: LaGrange County Area Transit","Lagrange","IN","50305","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","Funds Expended on Capital","0",,"0",,"42574",,"0",,"147048",,"189622",
"LaGrange County Council on Aging, dba: LaGrange County Area Transit","Lagrange","IN","50305","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","Funds Expended on Operations","253673",,"0",,"242000",,"214526",,"454332",,"1164531",
"LifeStream Services, dba: The New Interurban","Yorktown","IN","50307","Area Agency on Aging","Rural Reporter","2024",,,,"14","Funds Expended on Operations","139284",,"0",,"398553",,"213554",,"612104",,"1363495",
"LifeStream Services, dba: The New Interurban","Yorktown","IN","50307","Area Agency on Aging","Rural Reporter","2024",,,,"14","Funds Expended on Capital","0",,"0",,"164947",,"0",,"308833",,"473780",
"Area 10 Council on Aging of Monroe County, dba: Rural Transit","Ellettsville","IN","50308","Area Agency on Aging","Rural Reporter","2024",,,,"12","Funds Expended on Capital","0",,"0",,"525000",,"0",,"0",,"525000",
"Area 10 Council on Aging of Monroe County, dba: Rural Transit","Ellettsville","IN","50308","Area Agency on Aging","Rural Reporter","2024",,,,"12","Funds Expended on Operations","59901",,"0",,"350323",,"311595",,"679316",,"1401135",
"Cass County Transportation Authority","Cassopolis","MI","50310","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","Funds Expended on Capital","0",,"0",,"0",,"367",,"1468",,"1835",
"Cass County Transportation Authority","Cassopolis","MI","50310","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","Funds Expended on Operations","15643",,"0",,"185332",,"194222",,"91624",,"486821",
"Charlevoix County Board of Commissioners","Charlevoix","MI","50313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"19","Funds Expended on Capital","0",,"0",,"0",,"113203",,"452814",,"566017",
"Charlevoix County Board of Commissioners","Charlevoix","MI","50313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"19","Funds Expended on Operations","165891",,"0",,"646458",,"794850",,"391281",,"1998480",
"Clinton Area Transit System, dba: My Blue Bus","Saint Johns","MI","50314","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"29","Funds Expended on Operations","307947",,"0",,"1020738",,"1361110",,"703363",,"3393158",
"Clinton Area Transit System, dba: My Blue Bus","Saint Johns","MI","50314","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"29","Funds Expended on Capital","0",,"0",,"0",,"458933",,"777159",,"1236092",
"Shawnee Mass Transit District, dba: Shawnee Mass Transit","Vienna","IL","50315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"44","Funds Expended on Capital","32948",,"0",,"0",,"0",,"0",,"32948",
"Shawnee Mass Transit District, dba: Shawnee Mass Transit","Vienna","IL","50315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"44","Funds Expended on Operations","1536374",,"0",,"0",,"3132668",,"435803",,"5104845",
"Wilmington Transit System","Wilmington","OH","50316","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","Funds Expended on Capital","0",,"0",,"12672",,"0",,"101371",,"114043",
"Wilmington Transit System","Wilmington","OH","50316","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","Funds Expended on Operations","249591",,"0",,"318834",,"464426",,"953091",,"1985942",
"City of Baraboo, dba: Baraboo Transit","Baraboo","WI","50318","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Capital","0",,"0",,"34672",,"0",,"138690",,"173362",
"City of Baraboo, dba: Baraboo Transit","Baraboo","WI","50318","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Operations","155784",,"0",,"71858",,"118345",,"222546",,"568533",
"City of Watertown, dba: Watertown Transit","Watertown","WI","50319","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","Funds Expended on Operations","336510",,"0",,"0",,"207548",,"294150",,"838208",
"City of Watertown, dba: Watertown Transit","Watertown","WI","50319","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","Funds Expended on Capital","0",,"0",,"25253",,"0",,"101014",,"126267",
"Volunteer Interfaith Network Effort, dba: Vine Faith in Action","Mankato","MN","50321","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","Funds Expended on Capital","0",,"0",,"1500",,"0",,"0",,"1500",
"Volunteer Interfaith Network Effort, dba: Vine Faith in Action","Mankato","MN","50321","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","Funds Expended on Operations","58457",,"0",,"0",,"434550",,"348390",,"841397",
"Brainerd, City of, dba: Brainerd & Crow Wing Public Transit","Brainerd","MN","50322","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Brainerd, City of, dba: Brainerd & Crow Wing Public Transit","Brainerd","MN","50322","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Operations","154626",,"0",,"0",,"736897",,"544709",,"1436232",
"LifeTime Resources, dba: Catch-a-Ride","Dillsboro","IN","50324","Area Agency on Aging","Rural Reporter","2024",,,,"20","Funds Expended on Operations","102012",,"0",,"600828",,"304908",,"905733",,"1913481",
"LifeTime Resources, dba: Catch-a-Ride","Dillsboro","IN","50324","Area Agency on Aging","Rural Reporter","2024",,,,"20","Funds Expended on Capital","0",,"0",,"82982",,"0",,"331914",,"414896",
"South Central Illinois Mass Transit District, dba: South Central Transit","Centralia","IL","50327","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"112","Funds Expended on Capital","0",,"0",,"0",,"2246919",,"0",,"2246919",
"South Central Illinois Mass Transit District, dba: South Central Transit","Centralia","IL","50327","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"112","Funds Expended on Operations","1667913",,"0",,"0",,"7389872",,"1241877",,"10299662",
"Kankakee County, dba: SHOW BUS Public Transportation, NFP","Kankakee","IL","50328","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","Funds Expended on Operations","2889",,"0",,"27681",,"414820",,"289690",,"735080",
"Kankakee County, dba: SHOW BUS Public Transportation, NFP","Kankakee","IL","50328","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Woodford County, dba: We Care, Inc.","Eureka","IL","50329","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","Funds Expended on Operations","76529",,"0",,"0",,"432696",,"136144",,"645369",
"Woodford County, dba: We Care, Inc.","Eureka","IL","50329","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"DeKalb County Council on Aging, dba: Dekalb Area Rural Transit","Auburn","IN","50330","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","Funds Expended on Operations","93882",,"0",,"175336",,"98667",,"273999",,"641884",
"DeKalb County Council on Aging, dba: Dekalb Area Rural Transit","Auburn","IN","50330","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","Funds Expended on Capital","0",,"0",,"41443",,"0",,"149275",,"190718",
"Hibbing, City of, dba: Hibbing Area Transit","Hibbing","MN","50332","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Hibbing, City of, dba: Hibbing Area Transit","Hibbing","MN","50332","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","58106",,"0",,"0",,"202462",,"162667",,"423235",
"Prairie Five CAC, Inc., dba: Prairie Five Rides","Montevideo","MN","50334","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"32","Funds Expended on Operations","261417",,"0",,"0",,"1567729",,"1241019",,"3070165",
"Prairie Five CAC, Inc., dba: Prairie Five Rides","Montevideo","MN","50334","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"32","Funds Expended on Capital","0",,"0",,"44880",,"127894",,"409026",,"581800",
"Greater Lapeer Transportation Authority","Lapeer","MI","50335","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"27","Funds Expended on Capital","0",,"0",,"0",,"293093",,"1091776",,"1384869",
"Greater Lapeer Transportation Authority","Lapeer","MI","50335","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"27","Funds Expended on Operations","559382",,"0",,"361994",,"890412",,"401377",,"2213165",
"City of Waupaca, dba: Waupaca Taxi","Waupaca","WI","50336","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Waupaca, dba: Waupaca Taxi","Waupaca","WI","50336","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Operations","165303",,"0",,"36789",,"135131",,"211222",,"548445",
"Branch Area Transit Authority","Coldwater","MI","50337","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","Funds Expended on Capital","0",,"0",,"0",,"77398",,"242935",,"320333",
"Branch Area Transit Authority","Coldwater","MI","50337","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","Funds Expended on Operations","276947",,"0",,"581064",,"833728",,"377101",,"2068840",
"McLean County, dba: SHOW BUS Public Transportation, NFP","Bloomington","IL","50338","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"27","Funds Expended on Operations","503",,"0",,"0",,"659022",,"1568799",,"2228324",
"McLean County, dba: SHOW BUS Public Transportation, NFP","Bloomington","IL","50338","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"27","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Monroe Randolph Transit District","Sparta","IL","50339","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","Funds Expended on Capital","0",,"0",,"0",,"60894",,"0",,"60894",
"Monroe Randolph Transit District","Sparta","IL","50339","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","Funds Expended on Operations","70035",,"0",,"112282",,"654820",,"415195",,"1252332",
"Otsego County Board of Commissioners","Gaylord","MI","50340","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","Funds Expended on Capital","0",,"0",,"0",,"83707",,"334830",,"418537",
"Otsego County Board of Commissioners","Gaylord","MI","50340","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","Funds Expended on Operations","188219",,"0",,"354219",,"524209",,"234142",,"1300789",
"South East Area Transit","Zanesville","OH","50341","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"79","Funds Expended on Operations","2977297",,"0",,"133669",,"540404",,"4144667",,"7796037",
"South East Area Transit","Zanesville","OH","50341","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"79","Funds Expended on Capital","0",,"0",,"99276",,"0",,"397103",,"496379",
"Hendricks County Sycamore Services, dba: LINK Hendricks County; Morgan County CONNECT","Danville","IN","50342","Private-Non-Profit Corporation","Full Reporter","2024","41212","Indianapolis, IN","1699881","39","Funds Expended on Capital","0",,"0",,"228908",,"303551",,"397831",,"930290",
"Hendricks County Sycamore Services, dba: LINK Hendricks County; Morgan County CONNECT","Danville","IN","50342","Private-Non-Profit Corporation","Full Reporter","2024","41212","Indianapolis, IN","1699881","39","Funds Expended on Operations","248285",,"0",,"333506",,"244043",,"649260",,"1475094",
"Perry County Transit","New Lexington","OH","50343","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"32","Funds Expended on Capital","0",,"0",,"133985",,"0",,"535940",,"669925",
"Perry County Transit","New Lexington","OH","50343","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"32","Funds Expended on Operations","1102626",,"0",,"65054",,"165877",,"1371937",,"2705494",
"Ogemaw County Board of Commissioners","West Branch","MI","50344","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","Funds Expended on Operations","143852",,"0",,"322785",,"450955",,"201423",,"1119015",
"Ogemaw County Board of Commissioners","West Branch","MI","50344","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","Funds Expended on Capital","0",,"0",,"0",,"84439",,"337757",,"422196",
"Effingham County, dba: Effingham County Public Transportation","Effingham","IL","50345","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Effingham County, dba: Effingham County Public Transportation","Effingham","IL","50345","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","Funds Expended on Operations","18130",,"0",,"192346",,"593612",,"109161",,"913249",
"Sanilac County Board of Commissioners","Sandusky","MI","50346","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","Funds Expended on Capital","0",,"0",,"0",,"312798",,"1251192",,"1563990",
"Sanilac County Board of Commissioners","Sandusky","MI","50346","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","Funds Expended on Operations","65846",,"0",,"776837",,"814363",,"363742",,"2020788",
"Blue River Services, dba: Southern Indiana Transit System","Corydon","IN","50347","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","Funds Expended on Operations","59889",,"0",,"189609",,"190424",,"380031",,"819953",
"Blue River Services, dba: Southern Indiana Transit System","Corydon","IN","50347","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Winona, City of, dba: Winona Transit Service","Winona","MN","50349","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Operations","238634",,"0",,"0",,"600708",,"458697",,"1298039",
"Winona, City of, dba: Winona Transit Service","Winona","MN","50349","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Waupun, dba: Waupun Taxi","Waupun","WI","50350","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Operations","41451",,"0",,"34367",,"29273",,"77606",,"182697",
"City of Waupun, dba: Waupun Taxi","Waupun","WI","50350","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Capital","0",,"0",,"14475",,"0",,"57898",,"72373",
"Kendall County, dba: Kendall Area Transit","Yorkville","IL","50352","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","Funds Expended on Capital","0",,"0",,"58000",,"0",,"0",,"58000",
"Kendall County, dba: Kendall Area Transit","Yorkville","IL","50352","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","Funds Expended on Operations","83038",,"0",,"123064",,"1160689",,"424743",,"1791534",
"Tri-Valley Opportunity Council, Inc., dba: Tri-Valley Heartland Express","Crookston","MN","50353","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"28","Funds Expended on Operations","389096",,"0",,"0",,"1777065",,"1419540",,"3585701",
"Tri-Valley Opportunity Council, Inc., dba: Tri-Valley Heartland Express","Crookston","MN","50353","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"28","Funds Expended on Capital","0",,"0",,"82090",,"126082",,"612728",,"820900",
"City of Huntingburg, dba: Huntingburg Transit System","Huntingburg","IN","50354","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Huntingburg, dba: Huntingburg Transit System","Huntingburg","IN","50354","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Operations","17502",,"0",,"104555",,"25053",,"129605",,"276715",
"Barry County Board of Commissioners","Hastings","MI","50355","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","Funds Expended on Capital","0",,"0",,"0",,"127258",,"509031",,"636289",
"Barry County Board of Commissioners","Hastings","MI","50355","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","Funds Expended on Operations","221227",,"0",,"581249",,"775507",,"350977",,"1928960",
"Delta Area Transit Authority","Escanaba","MI","50356","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","Funds Expended on Operations","247677",,"0",,"544472",,"773683",,"378385",,"1944217",
"Delta Area Transit Authority","Escanaba","MI","50356","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","Funds Expended on Capital","0",,"0",,"0",,"40412",,"161649",,"202061",
"City of New Castle, dba: New Castle Transit","New Castle","KY","50358","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of New Castle, dba: New Castle Transit","New Castle","KY","50358","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","Funds Expended on Operations","0",,"0",,"247110",,"94026",,"341134",,"682270",
"City of Stevens Point","Stevens Point","WI","50359","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Stevens Point","Stevens Point","WI","50359","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","Funds Expended on Operations","171972",,"0",,"950956",,"253820",,"1142106",,"2518854",
"City of New Richmond, dba: New Richmond Public Transit","New Richmond","WI","50360","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Operations","66448",,"0",,"40706",,"42160",,"102114",,"251428",
"City of New Richmond, dba: New Richmond Public Transit","New Richmond","WI","50360","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Capital","0",,"0",,"27098",,"0",,"108394",,"135492",
"Huntington County Council on Aging, dba: Huntington Area Transportation","Huntington","IN","50361","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14","Funds Expended on Capital","0",,"0",,"65926",,"0",,"255187",,"321113",
"Huntington County Council on Aging, dba: Huntington Area Transportation","Huntington","IN","50361","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14","Funds Expended on Operations","40945",,"0",,"233768",,"139833",,"373598",,"788144",
"Scioto County/Access Scioto County, dba: Access Scioto County","Portsmouth","OH","50363","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Scioto County/Access Scioto County, dba: Access Scioto County","Portsmouth","OH","50363","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","Funds Expended on Operations","318372",,"0",,"19428",,"146779",,"380080",,"864659",
"Jo Daviess County, dba: Jo Daviess County Transit","Galena","IL","50364","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","Funds Expended on Capital","0",,"0",,"0",,"0",,"10000",,"10000",
"Jo Daviess County, dba: Jo Daviess County Transit","Galena","IL","50364","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","Funds Expended on Operations","34545",,"0",,"119138",,"983481",,"210066",,"1347230",
"Area IV Agency on Aging and Community Action Programs, dba: Tippecanoe County Transportation","Lafayette","IN","50365","Area Agency on Aging","Rural Reporter","2024",,,,"3","Funds Expended on Operations","7109",,"0",,"93377",,"11014",,"99500",,"211000",
"Area IV Agency on Aging and Community Action Programs, dba: Tippecanoe County Transportation","Lafayette","IN","50365","Area Agency on Aging","Rural Reporter","2024",,,,"3","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Door County, dba: Door County Connect","Sturgeon Bay","WI","50366","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Door County, dba: Door County Connect","Sturgeon Bay","WI","50366","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","Funds Expended on Operations","157754",,"0",,"345331",,"112087",,"457418",,"1072590",
"Manistee County Board of Commissioners","Manistee","MI","50369","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","Funds Expended on Capital","0",,"0",,"0",,"576126",,"1143488",,"1719614",
"Manistee County Board of Commissioners","Manistee","MI","50369","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","Funds Expended on Operations","249234",,"0",,"1146935",,"1377530",,"638706",,"3412405",
"Huron County Board of Commissioners, dba: Thumb Area Transit","Bad Axe","MI","50370","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"49","Funds Expended on Capital","0",,"0",,"0",,"916309",,"3591497",,"4507806",
"Huron County Board of Commissioners, dba: Thumb Area Transit","Bad Axe","MI","50370","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"49","Funds Expended on Operations","1468423",,"0",,"803477",,"2274094",,"1078438",,"5624432",
"Ontonagon County Board of Commissioners","Ontonagon","MI","50371","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Operations","56404",,"0",,"302867",,"347197",,"155078",,"861546",
"Ontonagon County Board of Commissioners","Ontonagon","MI","50371","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","Funds Expended on Capital","0",,"0",,"0",,"101353",,"93198",,"194551",
"Cadillac/Wexford Transit Authority, dba: Wexexpress","Cadillac","MI","50374","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"32","Funds Expended on Operations","210599",,"0",,"1390877",,"1677467",,"834849",,"4113792",
"Cadillac/Wexford Transit Authority, dba: Wexexpress","Cadillac","MI","50374","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"32","Funds Expended on Capital","0",,"0",,"5430",,"26637",,"111977",,"144044",
"City of Whitewater, dba: Whitewater Shared-Ride Taxi","Whitewater","WI","50375","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Operations","42025",,"0",,"33352",,"46248",,"87725",,"209350",
"City of Whitewater, dba: Whitewater Shared-Ride Taxi","Whitewater","WI","50375","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Hancock Area Transportation Services","Findlay","OH","50377","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"36","Funds Expended on Capital","0",,"0",,"137206",,"50192",,"548822",,"736220",
"Hancock Area Transportation Services","Findlay","OH","50377","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"36","Funds Expended on Operations","546253",,"0",,"3147",,"541635",,"1212071",,"2303106",
"Becker County","Detroit Lakes","MN","50379","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Operations","83598",,"0",,"0",,"325453",,"264266",,"673317",
"Becker County","Detroit Lakes","MN","50379","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","Funds Expended on Capital","0",,"0",,"11400",,"26220",,"76380",,"114000",
"Ashland Public Transit","Ashland","OH","50382","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","Funds Expended on Capital","0",,"0",,"18128",,"0",,"72512",,"90640",
"Ashland Public Transit","Ashland","OH","50382","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","Funds Expended on Operations","172824",,"0",,"68686",,"260891",,"455034",,"957435",
"Van Buren County Board of Commissioners","Paw Paw","MI","50383","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","Funds Expended on Capital","0",,"0",,"0",,"196816",,"787265",,"984081",
"Van Buren County Board of Commissioners","Paw Paw","MI","50383","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","Funds Expended on Operations","238011",,"0",,"860311",,"1013016",,"407893",,"2519231",
"Brown County, dba: Brown County Heartland Express","New Ulm","MN","50384","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","Funds Expended on Operations","94642",,"0",,"0",,"576006",,"461631",,"1132279",
"Brown County, dba: Brown County Heartland Express","New Ulm","MN","50384","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","Funds Expended on Capital","0",,"0",,"22800",,"52440",,"152760",,"228000",
"Hancock County, dba: Hancock County Public Transportation System","Carthage","IL","50385","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Hancock County, dba: Hancock County Public Transportation System","Carthage","IL","50385","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","Funds Expended on Operations","290",,"0",,"10683",,"139428",,"133582",,"283983",
"City of Houghton","Houghton","MI","50386","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Houghton","Houghton","MI","50386","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","Funds Expended on Operations","111971",,"0",,"138107",,"241673",,"107945",,"599696",
"Union County Council on Aging, dba: Union County Transit","Liberty","IN","50387","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","Funds Expended on Operations","52825",,"0",,"290454",,"104666",,"395117",,"843062",
"Union County Council on Aging, dba: Union County Transit","Liberty","IN","50387","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","Funds Expended on Capital","0",,"0",,"28860",,"0",,"93985",,"122845",
"Marion Area Transit","Marion","OH","50388","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","Funds Expended on Capital","0",,"0",,"1114",,"0",,"324602",,"325716",
"Marion Area Transit","Marion","OH","50388","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","Funds Expended on Operations","71781",,"0",,"182898",,"280134",,"424054",,"958867",
"Orange County First Chance Center, dba: Orange County Transit System","Paoli","IN","50389","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","Funds Expended on Capital","0",,"0",,"13863",,"0",,"55290",,"69153",
"Orange County First Chance Center, dba: Orange County Transit System","Paoli","IN","50389","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","Funds Expended on Operations","32807",,"0",,"116232",,"102738",,"218966",,"470743",
