"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fares","fares_questionable","park_and_ride","park_and_ride_questionable","concessions","concessions_questionable","advertising","advertising_questionable","other","other_questionable","purchased_transportation","purchased_transportation_1","total","total_questionable"
"City of Monroe, dba: Monroe Cab Company","Monroe","WI","50235","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","130244",,,,,,,,"0",,"0",,"130244",
"Rock Island County, dba: RIM Rural Transit","Rock Island","IL","50237","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","68239",,,,,,,,,,,,"68239",
"City of Black River Falls, dba: Black River Falls Public Transit","Black River Falls","WI","50239","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","117697",,,,,,,,"0",,"0",,"117697",
"Schoolcraft Transit Authority","Manistique","MI","50240","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"8","57931",,,,,,,,"52257",,,,"110188",
"Eastern Upper Peninsula Transportation Authority","Sault Sainte Marie","MI","50241","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"12","2827434",,,,,,,,"106709",,,,"2934143",
"Roscommon County Transportation Authority","Houghton Lake","MI","50242","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"25","541429",,,,,,,,"198034",,,,"739463",
"Isabella County Transportation Commission, dba: IRide","Mt. Pleasant","MI","50244","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"38","339427",,,,,,,,"283629",,,,"623056",
"Marshall County Council on Aging, dba: Marshall County Public Transit","Plymouth","IN","50246","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","55677",,,,,,,,"1960",,,,"57637",
"Steuben County Council on Aging, dba: STAR Public Transportation","Angola","IN","50248","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","31835",,,,,,,,,,,,"31835",
"City of Richmond, dba: RoseView Transit","Richmond","IN","50249","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","124869",,,,,,,,"4020",,,,"128889",
"Lee County, dba: Lee-Ogle Transportation System","Dixon","IL","50250","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25","64413",,,,,,,,,,,,"64413",
"Macoupin County, dba: Macoupin County Public Transit","Carlinville","IL","50252","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","39735",,,,,,,,,,,,"39735",
"Grundy County, dba: Grundy Transit System","Morris","IL","50253","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","64503",,,,,,,,"45314",,,,"109817",
"Carroll County Transit","Carrollton","OH","50255","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","73753",,,,,,,,"925",,"0",,"74678",
"Access Johnson County","Franklin","IN","50256","Private-Non-Profit Corporation","Reduced Reporter","2024","41212","Indianapolis, IN","1699881","16","74365",,,,,,,,"0",,"0",,"74365",
"City of Marshfield, dba: Marshfield Transit","Marshfield","WI","50257","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","504795",,,,,,,,"0",,"0",,"504795",
"City of Quincy, dba: Quincy Transit","Quincy","IL","50258","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","181768",,,,,,,,"0",,"0",,"181768",
"Eaton County Transportation Authority","Charlotte","MI","50260","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"27","130270",,,,,,,,"15909",,,,"146179",
"Morris, City of, dba: Morris Transit","Morris","MN","50262","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","90927",,,,,,,,"0",,"0",,"90927",
"Bureau County, dba: Bureau Putnam Area Rural Transit","Princeton","IL","50263","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25","344703",,,,,,,,"12073",,,,"356776",
"Marshall, City of","Marshall","MI","50265","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","36022",,,,,,,,"33802",,,,"69824",
"City of Viroqua, dba: Viroqua Shared Ride Taxi Service","Viroqua","WI","50266","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","167077",,,,,,,,"0",,"0",,"167077",
"City of Hillsdale","Hillsdale","MI","50268","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","48554",,,,,,,,"5000",,,,"53554",
"Champaign County, dba: Champaign-County Area Rural Transit System","Urbana","IL","50269","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","46490",,,,,,,,,,"119944",,"166434",
"Madison County Council of Governments, dba: Transportation for Rural Areas of Madison County","Anderson","IN","50272","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"2","6247",,,,,,,,,,,,"6247",
"Knox Area Transit","Mount Vernon","OH","50275","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"26","111889",,,,,,,,"232456",,,,"344345",
"Four Rivers Resource Services, dba: Ride Solution","Loogootee","IN","50276","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"51","210697",,,,,,,,,,,,"210697",
"Village of Plover, dba: Plover Taxi Service","Plover","WI","50277","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","84438",,,,,,,,"0",,"0",,"84438",
"Athens Transit, dba: Athens Public Transit","Glouster","OH","50278","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","57322",,,,,,,,"475306",,,,"532628",
"Rush County Senior Services, dba: Ride Rush Public Transportation","Rushville","IN","50280","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","12684",,,,,,,,,,,,"12684",
"Cass County Council on Aging, dba: Cass Area Transit","Logansport","IN","50281","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"20","79938",,,,,,,,"4851",,,,"84789",
"Kalkaska Public Transit Authority, dba: Kalkaska Area Transit","Kalkaska","MI","50282","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","250613",,,,,,,,"84305",,,,"334918",
"Warren County, dba: Warren County Public Transportation","Monmouth","IL","50283","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","14742",,,,,,,,,,,,"14742",
"Champaign Transit System","Urbana","OH","50284","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","23698",,,,,,,,"181206",,"0",,"204904",
"Cheboygan County Board of Commissioners, dba: Cheboygan County BOC Straits Regional Ride","Cheboygan","MI","50285","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","98262",,,,,,,,"26952",,,,"125214",
"Grant County, dba: Grant County Taxi Service","Lancaster","WI","50286","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","9427",,,,,,,,"0",,"0",,"9427",
"Cardinal Services, dba: Kosciusko Area Bus Service","Warsaw","IN","50289","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","21903",,,,,,,,"6333",,,,"28236",
"City of Ripon, dba: Ripon Shared Ride Taxi","Ripon","WI","50290","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","137488",,,,,,,,"0",,"0",,"137488",
"Village of Prairie du Sac, dba: Sauk Prairie Taxi","Prairie Du Sac","WI","50291","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","42283",,,,,,,,"0",,"0",,"42283",
"Bowling Green Transit, dba: BG Transit","Bowling Green","OH","50292","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","70788",,,,,,,,"0",,"0",,"70788",
"Monroe County Public Transportation","Woodsfield","OH","50293","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","23173",,,,,,,,"309477",,"0",,"332650",
"Rusk County Transit Commission","Ladysmith","WI","50295","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","480683",,,,,,,,,,,,"480683",
"Kanabec County, dba: Timber Trails Public Transit","Mora","MN","50297","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","103661",,,,,,,,"0",,"0",,"103661",
"Ottawa County Transportation Agency, dba: OCTA Public Transit","Oak Harbor","OH","50298","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","43389",,,,,,,,"663019",,"0",,"706408",
"Henry County, dba: Henry County Public Transportation","Cambridge","IL","50301","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","58098",,,,,,,,"0",,"0",,"58098",
"City of Washington, dba: Washington Transit System","Washington","IN","50302","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0",,,,,,,,"2075",,,,"2075",
"City of River Falls, dba: River Falls Taxi Service","River Falls","WI","50303","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","54504",,,,,,,,"0",,"0",,"54504",
"Fulton County, dba: Fulton County Rural Transit","Lewistown","IL","50304","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","15375",,,,,,,,"4065",,,,"19440",
"LaGrange County Council on Aging, dba: LaGrange County Area Transit","Lagrange","IN","50305","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","218222",,,,,,,,"35451",,,,"253673",
"LifeStream Services, dba: The New Interurban","Yorktown","IN","50307","Area Agency on Aging","Rural Reporter","2024",,,,"14","120312",,,,,,,,"18972",,,,"139284",
"Area 10 Council on Aging of Monroe County, dba: Rural Transit","Ellettsville","IN","50308","Area Agency on Aging","Rural Reporter","2024",,,,"12","42501",,,,,,,,"17400",,,,"59901",
"Cass County Transportation Authority","Cassopolis","MI","50310","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","15643",,,,,,,,,,,,"15643",
"Charlevoix County Board of Commissioners","Charlevoix","MI","50313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"19","64946",,,,,,,,"100945",,,,"165891",
"Clinton Area Transit System, dba: My Blue Bus","Saint Johns","MI","50314","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"29","115991",,,,,,,,"191956",,,,"307947",
"Shawnee Mass Transit District, dba: Shawnee Mass Transit","Vienna","IL","50315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"44","103461",,,,,,,,"19616",,"1446245",,"1569322",
"Wilmington Transit System","Wilmington","OH","50316","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","227101",,,,,,,,"22490",,"0",,"249591",
"City of Baraboo, dba: Baraboo Transit","Baraboo","WI","50318","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","155784",,,,,,,,"0",,"0",,"155784",
"City of Watertown, dba: Watertown Transit","Watertown","WI","50319","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","336510",,,,,,,,"0",,"0",,"336510",
"Volunteer Interfaith Network Effort, dba: Vine Faith in Action","Mankato","MN","50321","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","58457",,,,,,,,"0",,"0",,"58457",
"Brainerd, City of, dba: Brainerd & Crow Wing Public Transit","Brainerd","MN","50322","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","154626",,,,,,,,"0",,"0",,"154626",
"LifeTime Resources, dba: Catch-a-Ride","Dillsboro","IN","50324","Area Agency on Aging","Rural Reporter","2024",,,,"20","78661",,,,,,,,"23351",,,,"102012",
"South Central Illinois Mass Transit District, dba: South Central Transit","Centralia","IL","50327","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"112","178157",,,,,,,,"1489756",,,,"1667913",
"Kankakee County, dba: SHOW BUS Public Transportation, NFP","Kankakee","IL","50328","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","2889",,,,,,,,,,,,"2889",
"Woodford County, dba: We Care, Inc.","Eureka","IL","50329","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","76529",,,,,,,,,,,,"76529",
"DeKalb County Council on Aging, dba: Dekalb Area Rural Transit","Auburn","IN","50330","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","91544",,,,,,,,"2338",,,,"93882",
"Hibbing, City of, dba: Hibbing Area Transit","Hibbing","MN","50332","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","58106",,,,,,,,"0",,"0",,"58106",
"Prairie Five CAC, Inc., dba: Prairie Five Rides","Montevideo","MN","50334","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"32","261417",,,,,,,,"0",,"0",,"261417",
"Greater Lapeer Transportation Authority","Lapeer","MI","50335","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"27","496540",,,,,,,,"62842",,,,"559382",
"City of Waupaca, dba: Waupaca Taxi","Waupaca","WI","50336","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","165303",,,,,,,,"0",,"0",,"165303",
"Branch Area Transit Authority","Coldwater","MI","50337","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","209622",,,,,,,,"67325",,,,"276947",
"McLean County, dba: SHOW BUS Public Transportation, NFP","Bloomington","IL","50338","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"27","503",,,,,,,,,,,,"503",
"Monroe Randolph Transit District","Sparta","IL","50339","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","70035",,,,,,,,,,,,"70035",
"Otsego County Board of Commissioners","Gaylord","MI","50340","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","86365",,,,,,,,"101854",,,,"188219",
"South East Area Transit","Zanesville","OH","50341","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"79","110999",,,,,,,,"2866298",,"0",,"2977297",
"Hendricks County Sycamore Services, dba: LINK Hendricks County; Morgan County CONNECT","Danville","IN","50342","Private-Non-Profit Corporation","Full Reporter","2024","41212","Indianapolis, IN","1699881","39","195063",,,,,,"18422",,"0",,,,"213485",
"Perry County Transit","New Lexington","OH","50343","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"32","98958",,,,,,,,"1003668",,,,"1102626",
"Ogemaw County Board of Commissioners","West Branch","MI","50344","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","70785",,,,,,,,"73067",,,,"143852",
"Effingham County, dba: Effingham County Public Transportation","Effingham","IL","50345","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","18130",,,,,,,,,,,,"18130",
"Sanilac County Board of Commissioners","Sandusky","MI","50346","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","62011",,,,,,,,"3835",,,,"65846",
"Blue River Services, dba: Southern Indiana Transit System","Corydon","IN","50347","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","10096",,,,,,,,"49793",,,,"59889",
"Winona, City of, dba: Winona Transit Service","Winona","MN","50349","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","238634",,,,,,,,"0",,"0",,"238634",
"City of Waupun, dba: Waupun Taxi","Waupun","WI","50350","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","41451",,,,,,,,"0",,"0",,"41451",
"Kendall County, dba: Kendall Area Transit","Yorkville","IL","50352","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","83038",,,,,,,,,,,,"83038",
"Tri-Valley Opportunity Council, Inc., dba: Tri-Valley Heartland Express","Crookston","MN","50353","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"28","389096",,,,,,,,"0",,"0",,"389096",
"City of Huntingburg, dba: Huntingburg Transit System","Huntingburg","IN","50354","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","17502",,,,,,,,,,,,"17502",
"Barry County Board of Commissioners","Hastings","MI","50355","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","122075",,,,,,,,"99152",,,,"221227",
"Delta Area Transit Authority","Escanaba","MI","50356","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","120813",,,,,,,,"126864",,,,"247677",
"City of New Castle, dba: New Castle Transit","New Castle","KY","50358","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0",,,,,,,,,,,,"0",
"City of Stevens Point","Stevens Point","WI","50359","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","171972",,,,,,,,,,,,"171972",
"City of New Richmond, dba: New Richmond Public Transit","New Richmond","WI","50360","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","66448",,,,,,,,"0",,"0",,"66448",
"Huntington County Council on Aging, dba: Huntington Area Transportation","Huntington","IN","50361","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14","40945",,,,,,,,,,,,"40945",
"Scioto County/Access Scioto County, dba: Access Scioto County","Portsmouth","OH","50363","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","24308",,,,,,,,"294064",,,,"318372",
"Jo Daviess County, dba: Jo Daviess County Transit","Galena","IL","50364","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","34545",,,,,,,,,,,,"34545",
"Area IV Agency on Aging and Community Action Programs, dba: Tippecanoe County Transportation","Lafayette","IN","50365","Area Agency on Aging","Rural Reporter","2024",,,,"3","6963",,,,,,,,"146",,,,"7109",
"Door County, dba: Door County Connect","Sturgeon Bay","WI","50366","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","157754",,,,,,,,,,,,"157754",
"Manistee County Board of Commissioners","Manistee","MI","50369","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","127696",,,,,,,,"121538",,,,"249234",
"Huron County Board of Commissioners, dba: Thumb Area Transit","Bad Axe","MI","50370","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"49","1402672",,,,,,,,"65751",,,,"1468423",
"Ontonagon County Board of Commissioners","Ontonagon","MI","50371","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","55801",,,,,,,,"603",,,,"56404",
"Cadillac/Wexford Transit Authority, dba: Wexexpress","Cadillac","MI","50374","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"32","162494",,,,,,,,"48105",,,,"210599",
"City of Whitewater, dba: Whitewater Shared-Ride Taxi","Whitewater","WI","50375","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","42025",,,,,,,,"0",,"0",,"42025",
"Hancock Area Transportation Services","Findlay","OH","50377","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"36","71455",,,,,,,,"474798",,,,"546253",
"Becker County","Detroit Lakes","MN","50379","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","83598",,,,,,,,"0",,"0",,"83598",
"Ashland Public Transit","Ashland","OH","50382","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","64398",,,,,,,,"108426",,"0",,"172824",
"Van Buren County Board of Commissioners","Paw Paw","MI","50383","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","135719",,,,,,,,"102292",,,,"238011",
"Brown County, dba: Brown County Heartland Express","New Ulm","MN","50384","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","94642",,,,,,,,"0",,"0",,"94642",
"Hancock County, dba: Hancock County Public Transportation System","Carthage","IL","50385","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","290",,,,,,,,"0",,"0",,"290",
"City of Houghton","Houghton","MI","50386","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","111959",,,,,,,,"12",,,,"111971",
"Union County Council on Aging, dba: Union County Transit","Liberty","IN","50387","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","52825",,,,,,,,,,,,"52825",
"Marion Area Transit","Marion","OH","50388","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","64788",,,,,,,,"6993",,,,"71781",
"Orange County First Chance Center, dba: Orange County Transit System","Paoli","IN","50389","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","30207",,,,,,,,"2600",,,,"32807",
"Ashtabula County Transportation System","Jefferson","OH","50390","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","42555",,,,,,,,"291137",,"0",,"333692",
"City of Edgerton, dba: Edgerton Taxi","Edgerton","WI","50391","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","13724",,,,,,,,"0",,"0",,"13724",
"YMCA of Vincennes, dba: VanGo","Vincennes","IN","50392","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"15","40080",,,,,,,,"7476",,,,"47556",
"Trailblazer Joint Powers Board, dba: Trailblazer Transit","Glencoe","MN","50394","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"35","1260211",,,,,,,,"0",,"0",,"1260211",
"Gladwin County Board of Commissioners","Gladwin","MI","50395","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","204052",,,,,,,,"37479",,,,"241531",
"City of Jefferson, dba: Jefferson Shared-Ride Taxi","Jefferson","WI","50396","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","44056",,,,,,,,"0",,"0",,"44056",
"Hubbard County, dba: Hubbard County Heartland Express","Park Rapids","MN","50397","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","73012",,,,,,,,"0",,"0",,"73012",
"City of Belding","Belding","MI","50398","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","34219",,,,,,,,"27021",,"0",,"61240",
"Fayette County Senior Center, dba: Fayette County Public Transit","Connersville","IN","50399","Area Agency on Aging","Rural Reporter","2024",,,,"9","53417",,,,,,,,,,,,"53417",
"City of Fort Atkinson, dba: Brown Cab","Fort Atkinson","WI","50400","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","145436",,,,,,,,"0",,"0",,"145436",
"Bay Area Rural Transit Commission","Ashland","WI","50401","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","165742",,,,,,,,"0",,"0",,"165742",
"Wells County Council on Aging, dba: Wells on Wheels","Bluffton","IN","50403","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","36431",,,,,,,,"5977",,,,"42408",
"City of Greenville","Greenville","MI","50404","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","46536",,,,,,,,,,,,"46536",
"City of Wisconsin Rapids, dba: Wisconsin Rapids Public","Wisconsin Rapids","WI","50405","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","325337",,,,,,,,"0",,"0",,"325337",
"Lancaster Public Transit System, dba: Lancaster-Fairfield Public Transit","Lancaster","OH","50406","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19234","Columbus, OH","1567254","16","201989",,,,,,,,"303345",,,,"505334",
"City of Bedford, dba: Transit Authority of Stone City","Bedford","IN","50407","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0",,,,,,,,,,,,"0",
"Hancock, City of","Hancock","MI","50408","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","61909",,,,,,,,"183",,,,"62092",
"Clintonville Transit Commission, dba: Clintonville Taxi","Clintonville","WI","50409","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"2","12113",,,,,,,,"0",,"0",,"12113",
"Fayette County Transportation Program, dba: Fayette County Transportation","Washington Court House","OH","50410","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19","15911",,,,,,,,"633411",,"0",,"649322",
"Logan County, dba: SHOW BUS Public Transportation, NFP","Lincoln","IL","50411","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","230",,,,,,,,,,,,"230",
"City of Freeport, dba: Pretzel Area Transit","Freeport","IL","50412","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","81645",,,,,,,,,,"0",,"81645",
"Bay Area Transportation Authority","Traverse City","MI","50413","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","88300","Traverse City--Garfield, MI","56890","51","1001270",,,,"2079",,"208803",,"0",,,,"1212152",
"West Central Mass Transit District","Jacksonville","IL","50414","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"25","254479",,,,,,,,"5813",,,,"260292",
"Greenville Transit System","Greenville","OH","50415","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","66880",,,,,,,,"252074",,,,"318954",
"Mecosta Osceola Transit Authority","Big Rapids","MI","50416","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","63660",,,,,,,,"49381",,,,"113041",
"City of Tomah, dba: Tomah Transit","Tomah","WI","50418","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","268740",,,,,,,,"0",,"0",,"268740",
"Tazewell County, dba: TCRC Inc., DBA We Care","Pekin","IL","50420","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","25140",,,,,,,,,,,,"25140",
"Morgan County Transit","Mcconnelsville","OH","50421","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25","39846",,,,,,,,"678326",,"0",,"718172",
"Noble County Council on Aging, dba: Noble Transit System","Albion","IN","50422","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","61307",,,,,,,,,,,,"61307",
"Transportation for Logan County, dba: RTC Transportation","Bellefontaine","OH","50424","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"25","0",,,,,,,,"0",,"0",,"0",
"Piatt County","Monticello","IL","50425","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","62355",,,,,,,,"91261",,,,"153616",
"Marquette County Transit Authority, dba: MARQ-TRAN","Marquette","MI","50427","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30","149803",,,,,,,,"260729",,,,"410532",
"Semcac, dba: Rolling Hills Transit","Rushford","MN","50428","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","137988",,,,,,,,"0",,"0",,"137988",
"Chillicothe Transit System","Chillicothe","OH","50429","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0",,,,,,,,"2549036",,"0",,"2549036",
"Fosston, City of, dba: Fosston Transit","Fosston","MN","50430","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","12643",,,,,,,,"0",,"0",,"12643",
"City of Platteville, dba: Platteville Public Transportation","Platteville","WI","50431","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","212432",,,,,,,,,,,,"212432",
"County of Kenosha, dba: Western Kenosha Transportation","Kenosha","WI","50432","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","18988",,,,,,,,,,,,"18988",
"Great Lakes Community Action Partnership, dba: TRIPS Public Transportation","Fremont","OH","50433","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","50409",,,,,,,,"528642",,"0",,"579051",
"Pickaway Area Rural Transit, dba: PICCA Transit","Circleville","OH","50434","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","4456",,,,,,,,,,,,"4456",
"City of Lake Mills, dba: Lake Mills Taxi","Lake Mills","WI","50435","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","12532",,,,,,,,"0",,"0",,"12532",
"St. Joseph County Transportation Authority","Three Rivers","MI","50436","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"24","210669",,,,,,,,"43237",,,,"253906",
"City of Big Rapids","Big Rapids","MI","50437","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","92960",,,,,,,,"500",,,,"93460",
"Logan Transit System, dba: Logan Public Transit","Glouster","OH","50438","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","26077",,,,,,,,"159500",,,,"185577",
