"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_fund","income_tax","sales_tax","property_tax","fuel_tax","other_taxes","tolls","other_funds","reduced_reporter_funds","total"
"City of Hartford, dba: Hartford City Taxi","Hartford","WI","50210","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","53355","53355"
"Rides Mass Transit District","Harrisburg","IL","50211","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"116","0","0","0","0","0","0","0","0","1522816","1522816"
"Stateline Mass Transit District","Rockton","IL","50212","Independent Public Agency or Authority of Transit Service","Separate Service","2024","06760","Beloit, WI--IL","63073","0","81000","0","0","0","0","0","0","0","0","81000"
"M-1 Rail, dba: QLINE Detroit","Detroit","MI","50213","Private-Non-Profit Corporation","Full Reporter","2024","23824","Detroit, MI","3776890","4","0","0","0","0","0","0","0","0","0","0"
"Voluntary Action Center","Sycamore","IL","50215","Private-Non-Profit Corporation","Reduced Reporter","2024","22960","DeKalb, IL","64736","19","0","0","0","0","0","0","0","0","0","0"
"Iosco Transit Corporation","East Tawas","MI","50217","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","230195","230195"
"City of Ottawa, dba: North Central Area Transit","Ottawa","IL","50219","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"21","0","0","0","0","0","0","0","0","375189","375189"
"City of Shawano, dba: Shawano City Cab","Shawano","WI","50220","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","83390","83390"
"Bond County, dba: Bond County Transit","Greenville","IL","50221","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","0","0"
"CRIS Rural Mass Transit District","Danville","IL","50223","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","3750","3750"
"Caro Transit Authority","Caro","MI","50224","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"15","0","0","0","0","0","0","0","0","574464","574464"
"Arenac Public Transit Authority, dba: Arenac County Transit","Twining","MI","50225","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","314108","314108"
"Dunn County Transit Commission","Menomonie","WI","50226","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","240576","240576"
"Shiawassee Area Transportation Agency","Owosso","MI","50227","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","0","0","0","0","0","0","0","0","547608","547608"
"City of Richland Center, dba: Richland Center Transit","Richland Center","WI","50229","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","25245","25245"
"Boone County Senior Services, Inc., dba: Boone Area Transit System","Lebanon","IN","50230","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","273377","273377"
"Rainbow Rider Transit Board, dba: Rainbow Rider Transit","Lowry","MN","50231","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"34","0","0","0","0","0","0","0","0","156062","156062"
"City of Macomb, dba: McDonough County Public Transportation","Macomb","IL","50232","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","0","0"
"Thunderbay Transportation Authority","Alpena","MI","50233","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"28","0","0","0","0","0","0","0","0","673624","673624"
"Carroll County, dba: Carroll County Transit","Mount Carroll","IL","50234","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","76146","76146"
"City of Monroe, dba: Monroe Cab Company","Monroe","WI","50235","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","60838","60838"
"Rock Island County, dba: RIM Rural Transit","Rock Island","IL","50237","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","0","0","0","0","0","0","0","0"
"City of Black River Falls, dba: Black River Falls Public Transit","Black River Falls","WI","50239","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","90016","90016"
"Schoolcraft Transit Authority","Manistique","MI","50240","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","309961","309961"
"Eastern Upper Peninsula Transportation Authority","Sault Sainte Marie","MI","50241","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","0","0"
"Roscommon County Transportation Authority","Houghton Lake","MI","50242","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"25","0","0","0","0","0","0","0","0","547306","547306"
"Isabella County Transportation Commission, dba: IRide","Mt. Pleasant","MI","50244","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"38","0","0","0","0","0","0","0","0","1990696","1990696"
"Marshall County Council on Aging, dba: Marshall County Public Transit","Plymouth","IN","50246","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","0","0","0","0","0","0","0","0","234225","234225"
"Steuben County Council on Aging, dba: STAR Public Transportation","Angola","IN","50248","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","190816","190816"
"City of Richmond, dba: RoseView Transit","Richmond","IN","50249","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","21297","21297"
"Lee County, dba: Lee-Ogle Transportation System","Dixon","IL","50250","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25","0","0","0","0","0","0","0","0","511472","511472"
"Macoupin County, dba: Macoupin County Public Transit","Carlinville","IL","50252","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","745020","745020"
"Grundy County, dba: Grundy Transit System","Morris","IL","50253","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","0","0","0","0","0","0","5645","5645"
"Carroll County Transit","Carrollton","OH","50255","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","287369","287369"
"Access Johnson County","Franklin","IN","50256","Private-Non-Profit Corporation","Reduced Reporter","2024","41212","Indianapolis, IN","1699881","16","0","0","0","0","0","0","0","0","520326","520326"
"City of Marshfield, dba: Marshfield Transit","Marshfield","WI","50257","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","0","0","0","0","0","0","85751","85751"
"City of Quincy, dba: Quincy Transit","Quincy","IL","50258","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","0","0","0","0","0","0","0","0","128134","128134"
"Eaton County Transportation Authority","Charlotte","MI","50260","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"27","0","0","0","0","0","0","0","0","1252208","1252208"
"Morris, City of, dba: Morris Transit","Morris","MN","50262","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","77867","77867"
"Bureau County, dba: Bureau Putnam Area Rural Transit","Princeton","IL","50263","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25","0","0","0","0","0","0","0","0","0","0"
"Marshall, City of","Marshall","MI","50265","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","105984","105984"
"City of Viroqua, dba: Viroqua Shared Ride Taxi Service","Viroqua","WI","50266","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","111266","111266"
"City of Hillsdale","Hillsdale","MI","50268","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","89662","89662"
"Champaign County, dba: Champaign-County Area Rural Transit System","Urbana","IL","50269","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","0","0"
"Madison County Council of Governments, dba: Transportation for Rural Areas of Madison County","Anderson","IN","50272","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","131852","131852"
"Knox Area Transit","Mount Vernon","OH","50275","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"26","0","0","0","0","0","0","0","0","105309","105309"
"Four Rivers Resource Services, dba: Ride Solution","Loogootee","IN","50276","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"51","0","0","0","0","0","0","0","0","889730","889730"
"Village of Plover, dba: Plover Taxi Service","Plover","WI","50277","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","37721","37721"
"Athens Transit, dba: Athens Public Transit","Glouster","OH","50278","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","265803","265803"
"Rush County Senior Services, dba: Ride Rush Public Transportation","Rushville","IN","50280","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","97120","97120"
"Cass County Council on Aging, dba: Cass Area Transit","Logansport","IN","50281","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"20","0","0","0","0","0","0","0","0","89750","89750"
"Kalkaska Public Transit Authority, dba: Kalkaska Area Transit","Kalkaska","MI","50282","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","146248","146248"
"Warren County, dba: Warren County Public Transportation","Monmouth","IL","50283","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","0","0"
"Champaign Transit System","Urbana","OH","50284","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","47115","47115"
"Cheboygan County Board of Commissioners, dba: Cheboygan County BOC Straits Regional Ride","Cheboygan","MI","50285","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","317826","317826"
"Grant County, dba: Grant County Taxi Service","Lancaster","WI","50286","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","25779","25779"
"Cardinal Services, dba: Kosciusko Area Bus Service","Warsaw","IN","50289","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","470515","470515"
"City of Ripon, dba: Ripon Shared Ride Taxi","Ripon","WI","50290","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","15358","15358"
"Village of Prairie du Sac, dba: Sauk Prairie Taxi","Prairie Du Sac","WI","50291","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","36367","36367"
"Bowling Green Transit, dba: BG Transit","Bowling Green","OH","50292","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","83923","83923"
"Monroe County Public Transportation","Woodsfield","OH","50293","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","3674","3674"
"Rusk County Transit Commission","Ladysmith","WI","50295","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","279860","279860"
"Kanabec County, dba: Timber Trails Public Transit","Mora","MN","50297","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","26220","26220"
"Ottawa County Transportation Agency, dba: OCTA Public Transit","Oak Harbor","OH","50298","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","49401","49401"
"Henry County, dba: Henry County Public Transportation","Cambridge","IL","50301","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","0","0"
"City of Washington, dba: Washington Transit System","Washington","IN","50302","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","58909","58909"
"City of River Falls, dba: River Falls Taxi Service","River Falls","WI","50303","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","122963","122963"
"Fulton County, dba: Fulton County Rural Transit","Lewistown","IL","50304","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","62497","62497"
"LaGrange County Council on Aging, dba: LaGrange County Area Transit","Lagrange","IN","50305","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","284574","284574"
"LifeStream Services, dba: The New Interurban","Yorktown","IN","50307","Area Agency on Aging","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","563500","563500"
"Area 10 Council on Aging of Monroe County, dba: Rural Transit","Ellettsville","IN","50308","Area Agency on Aging","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","875323","875323"
"Cass County Transportation Authority","Cassopolis","MI","50310","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","185332","185332"
"Charlevoix County Board of Commissioners","Charlevoix","MI","50313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"19","0","0","0","0","0","0","0","0","646458","646458"
"Clinton Area Transit System, dba: My Blue Bus","Saint Johns","MI","50314","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"29","0","0","0","0","0","0","0","0","1020738","1020738"
"Shawnee Mass Transit District, dba: Shawnee Mass Transit","Vienna","IL","50315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"44","0","0","0","0","0","0","0","0","0","0"
"Wilmington Transit System","Wilmington","OH","50316","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","331506","331506"
"City of Baraboo, dba: Baraboo Transit","Baraboo","WI","50318","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","106530","106530"
"City of Watertown, dba: Watertown Transit","Watertown","WI","50319","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","25253","25253"
"Volunteer Interfaith Network Effort, dba: Vine Faith in Action","Mankato","MN","50321","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","1500","1500"
"Brainerd, City of, dba: Brainerd & Crow Wing Public Transit","Brainerd","MN","50322","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","0","0"
"LifeTime Resources, dba: Catch-a-Ride","Dillsboro","IN","50324","Area Agency on Aging","Rural Reporter","2024",,,,"20","0","0","0","0","0","0","0","0","683810","683810"
"South Central Illinois Mass Transit District, dba: South Central Transit","Centralia","IL","50327","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"112","0","0","0","0","0","0","0","0","0","0"
"Kankakee County, dba: SHOW BUS Public Transportation, NFP","Kankakee","IL","50328","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","0","0","0","0","0","0","27681","27681"
"Woodford County, dba: We Care, Inc.","Eureka","IL","50329","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","0","0"
"DeKalb County Council on Aging, dba: Dekalb Area Rural Transit","Auburn","IN","50330","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","216779","216779"
"Hibbing, City of, dba: Hibbing Area Transit","Hibbing","MN","50332","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","0","0"
"Prairie Five CAC, Inc., dba: Prairie Five Rides","Montevideo","MN","50334","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"32","0","0","0","0","0","0","0","0","44880","44880"
"Greater Lapeer Transportation Authority","Lapeer","MI","50335","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"27","0","0","0","0","0","0","0","0","361994","361994"
"City of Waupaca, dba: Waupaca Taxi","Waupaca","WI","50336","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","36789","36789"
"Branch Area Transit Authority","Coldwater","MI","50337","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","581064","581064"
"McLean County, dba: SHOW BUS Public Transportation, NFP","Bloomington","IL","50338","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"27","0","0","0","0","0","0","0","0","0","0"
"Monroe Randolph Transit District","Sparta","IL","50339","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","112282","112282"
"Otsego County Board of Commissioners","Gaylord","MI","50340","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","354219","354219"
"South East Area Transit","Zanesville","OH","50341","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"79","0","0","0","0","0","0","0","0","232945","232945"
"Hendricks County Sycamore Services, dba: LINK Hendricks County; Morgan County CONNECT","Danville","IN","50342","Private-Non-Profit Corporation","Full Reporter","2024","41212","Indianapolis, IN","1699881","39","562414","0","0","0","0","0","0","0","0","562414"
"Perry County Transit","New Lexington","OH","50343","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"32","0","0","0","0","0","0","0","0","199039","199039"
"Ogemaw County Board of Commissioners","West Branch","MI","50344","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","322785","322785"
"Effingham County, dba: Effingham County Public Transportation","Effingham","IL","50345","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","192346","192346"
"Sanilac County Board of Commissioners","Sandusky","MI","50346","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","776837","776837"
"Blue River Services, dba: Southern Indiana Transit System","Corydon","IN","50347","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","189609","189609"
"Winona, City of, dba: Winona Transit Service","Winona","MN","50349","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","0","0"
"City of Waupun, dba: Waupun Taxi","Waupun","WI","50350","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","48842","48842"
"Kendall County, dba: Kendall Area Transit","Yorkville","IL","50352","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","0","0","0","0","0","0","181064","181064"
"Tri-Valley Opportunity Council, Inc., dba: Tri-Valley Heartland Express","Crookston","MN","50353","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"28","0","0","0","0","0","0","0","0","82090","82090"
"City of Huntingburg, dba: Huntingburg Transit System","Huntingburg","IN","50354","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","104555","104555"
"Barry County Board of Commissioners","Hastings","MI","50355","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","0","0","0","0","0","0","581249","581249"
"Delta Area Transit Authority","Escanaba","MI","50356","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","0","0","0","0","0","0","0","0","544472","544472"
"City of New Castle, dba: New Castle Transit","New Castle","KY","50358","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","247110","247110"
"City of Stevens Point","Stevens Point","WI","50359","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","950956","950956"
"City of New Richmond, dba: New Richmond Public Transit","New Richmond","WI","50360","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","67804","67804"
"Huntington County Council on Aging, dba: Huntington Area Transportation","Huntington","IN","50361","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","299694","299694"
"Scioto County/Access Scioto County, dba: Access Scioto County","Portsmouth","OH","50363","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","19428","19428"
"Jo Daviess County, dba: Jo Daviess County Transit","Galena","IL","50364","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","0","0","0","0","0","0","0","0","119138","119138"
"Area IV Agency on Aging and Community Action Programs, dba: Tippecanoe County Transportation","Lafayette","IN","50365","Area Agency on Aging","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","93377","93377"
"Door County, dba: Door County Connect","Sturgeon Bay","WI","50366","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","345331","345331"
"Manistee County Board of Commissioners","Manistee","MI","50369","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","0","0","0","0","0","0","0","0","1146935","1146935"
"Huron County Board of Commissioners, dba: Thumb Area Transit","Bad Axe","MI","50370","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"49","0","0","0","0","0","0","0","0","803477","803477"
"Ontonagon County Board of Commissioners","Ontonagon","MI","50371","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","302867","302867"
"Cadillac/Wexford Transit Authority, dba: Wexexpress","Cadillac","MI","50374","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"32","0","0","0","0","0","0","0","0","1396307","1396307"
"City of Whitewater, dba: Whitewater Shared-Ride Taxi","Whitewater","WI","50375","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","33352","33352"
"Hancock Area Transportation Services","Findlay","OH","50377","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"36","0","0","0","0","0","0","0","0","140353","140353"
"Becker County","Detroit Lakes","MN","50379","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","11400","11400"
"Ashland Public Transit","Ashland","OH","50382","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","86814","86814"
"Van Buren County Board of Commissioners","Paw Paw","MI","50383","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","0","0","0","0","0","0","0","0","860311","860311"
"Brown County, dba: Brown County Heartland Express","New Ulm","MN","50384","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","22800","22800"
"Hancock County, dba: Hancock County Public Transportation System","Carthage","IL","50385","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","10683","10683"
"City of Houghton","Houghton","MI","50386","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","138107","138107"
"Union County Council on Aging, dba: Union County Transit","Liberty","IN","50387","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","319314","319314"
"Marion Area Transit","Marion","OH","50388","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","0","0","0","0","0","0","184012","184012"
"Orange County First Chance Center, dba: Orange County Transit System","Paoli","IN","50389","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","130095","130095"
"Ashtabula County Transportation System","Jefferson","OH","50390","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","0","0","0","0","0","0","0","0","66259","66259"
"City of Edgerton, dba: Edgerton Taxi","Edgerton","WI","50391","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","30431","30431"
"YMCA of Vincennes, dba: VanGo","Vincennes","IN","50392","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"15","0","0","0","0","0","0","0","0","749629","749629"
"Trailblazer Joint Powers Board, dba: Trailblazer Transit","Glencoe","MN","50394","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"35","0","0","0","0","0","0","0","0","0","0"
"Gladwin County Board of Commissioners","Gladwin","MI","50395","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","0","0","0","0","0","0","0","0","652893","652893"
"City of Jefferson, dba: Jefferson Shared-Ride Taxi","Jefferson","WI","50396","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","49735","49735"
"Hubbard County, dba: Hubbard County Heartland Express","Park Rapids","MN","50397","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","123505","123505"
"City of Belding","Belding","MI","50398","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","49440","49440"
"Fayette County Senior Center, dba: Fayette County Public Transit","Connersville","IN","50399","Area Agency on Aging","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","112645","112645"
"City of Fort Atkinson, dba: Brown Cab","Fort Atkinson","WI","50400","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","14452","14452"
"Bay Area Rural Transit Commission","Ashland","WI","50401","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","0","0","0","0","0","0","0","0","1188436","1188436"
"Wells County Council on Aging, dba: Wells on Wheels","Bluffton","IN","50403","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","476295","476295"
"City of Greenville","Greenville","MI","50404","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","117692","117692"
"City of Wisconsin Rapids, dba: Wisconsin Rapids Public","Wisconsin Rapids","WI","50405","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","210614","210614"
"Lancaster Public Transit System, dba: Lancaster-Fairfield Public Transit","Lancaster","OH","50406","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19234","Columbus, OH","1567254","16","0","0","0","0","0","0","0","0","266710","266710"
"City of Bedford, dba: Transit Authority of Stone City","Bedford","IN","50407","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","405690","405690"
"Hancock, City of","Hancock","MI","50408","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","91720","91720"
"Clintonville Transit Commission, dba: Clintonville Taxi","Clintonville","WI","50409","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","54315","54315"
"Fayette County Transportation Program, dba: Fayette County Transportation","Washington Court House","OH","50410","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19","0","0","0","0","0","0","0","0","132648","132648"
"Logan County, dba: SHOW BUS Public Transportation, NFP","Lincoln","IL","50411","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","0","0"
"City of Freeport, dba: Pretzel Area Transit","Freeport","IL","50412","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","0","0"
"Bay Area Transportation Authority","Traverse City","MI","50413","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","88300","Traverse City--Garfield, MI","56890","51","0","0","0","5419834","0","0","0","0","0","5419834"
