"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","income_tax","sales_tax","property_tax","fuel_tax","other_tax","tolls","other_funds","total"
"Bloomington Public Transportation Corporation, dba: Bloomington Transit","Bloomington","IN","50110","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","08380","Bloomington, IN","110103","55",,,,,,,,
"Pace, the Suburban Bus Division of the Regional Transportation Authority, dba: Pace Suburban Bus","Arlington Heights","IL","50113","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","16264","Chicago, IL--IN","8671746","945",,,,,,,,
"Laketran","Painesville","OH","50117","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","17668","Cleveland, OH","1712178","116",,"19469804",,,,,,"19469804"
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra","Chicago","IL","50118","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","16264","Chicago, IL--IN","8671746","951",,,,,,,,
"City of Detroit, dba: Detroit Department of Transportation","Detroit","MI","50119","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","23824","Detroit, MI","3776890","261",,,,,,,,
"Opportunity Enterprises, Inc., dba: Opportunity Enterprises","Valparaiso","IN","50131","Private-Non-Profit Corporation","Reduced Reporter","2024","90095","Valparaiso--Shorewood Forest, IN","51867","15",,,,,,,,
"Twin Cities Area Transportation Authority","Benton Harbor","MI","50132","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","07138","Benton Harbor--Lincoln--St. Joseph, MI","61888","17",,,,,,,,
"City of Chippewa Falls, dba: Chippewa Falls Shared Ride Taxi","Chippewa Falls","WI","50133","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","26038","Eau Claire, WI","105475","8",,,,,,,,
"Detroit Transportation Corporation, dba: Detroit People Mover","Detroit","MI","50141","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","23824","Detroit, MI","3776890","6",,,,,,,"0","0"
"Steel Valley Regional Transit Authority, dba: Steel Valley RTA","Steubenville","OH","50142","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","84859","Steubenville--Weirton, OH--WV--PA","64981","11",,,,,,,,
"City of Kokomo","Kokomo","IN","50145","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","45694","Kokomo, IN","62576","30",,,,,,,,
"Madison County Transit District","Pontoon Beach","IL","50146","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","77770","St. Louis, MO--IL","2156323","122",,"13548050",,,,,,"13548050"
"Blue Water Area Transportation Commission, dba: Blue Water Area Transit","Port Huron","MI","50148","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71155","Port Huron, MI","82226","221",,,,,,,,
"Michiana Area Council of Governments","South Bend","IN","50149","MPO, COG or Other Planning Agency","Full Reporter","2024","26794","Elkhart, IN--MI","148199","27",,,,,,,,
"City of Onalaska, dba: DriftLink Public Transit","Onalaska","WI","50152","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","45910","La Crosse, WI--MN","98872","9",,,,,,,,
"Metropolitan Council","Saint Paul","MN","50154","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","57628","Minneapolis--St. Paul, MN","2914866","690",,"2290485","25635544",,,,,"27926029"
"Butler County Regional Transit Authority, dba: BCRTA","Hamilton","OH","50157","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","16885","Cincinnati, OH--KY","1686744","47",,,,,,,,
"University of Michigan Parking and Transportation Services","Ann Arbor","MI","50158","University","Full Reporter","2024","02602","Ann Arbor, MI","317689","46",,,,,,,,
"River Valley Metro Mass Transit District","Bourbonnais","IL","50159","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","43885","Kankakee, IL","66530","19",,,,,,,,
"County of Washington, dba: Washington County Transit","West Bend","WI","50160","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","57466","Milwaukee, WI","1306795","28",,,,,,,,
"Ozaukee County, dba: Ozaukee County Transit","Port Washington","WI","50161","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","57466","Milwaukee, WI","1306795","31",,,,,,,,
"City of La Porte, Indiana, dba: TransPorte","La Porte","IN","50162","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56656","Michigan City--La Porte, IN--MI","71367","4",,,,,,,,
"Licking County, Ohio, dba: Licking County Transit","Newark","OH","50163","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","61705","Newark, OH","81223","21",,,,,,,,
"City of Sandusky, dba: Sandusky Transit System","Sandusky","OH","50164","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","78774","Sandusky--Port Clinton, OH","61743","14",,,,,,,,
"Greene County Transit Board, dba: Greene CATS Public Transit","Xenia","OH","50165","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","22528","Dayton, OH","674046","21",,,,,,,,
"Clermont County, Ohio","Batavia","OH","50166","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","16885","Cincinnati, OH--KY","1686744","40",,,,"0",,,,"0"
"South Lake County Community Services, Inc., dba: Lake County Community Services, Inc","Crown Point","IN","50167","Private-Non-Profit Corporation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","14",,,,,,,,
"Miami County, Ohio, dba: Miami County Public Transit","Troy","OH","50169","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18",,,,,,,,
"Fond du Lac, Wisconsin, dba: Fond du Lac Area Transit","Fond Du Lac","WI","50171","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","30223","Fond du Lac, WI","54731","22",,,,,,,,
"City of Danville, dba: Danville Mass Transit","Danville","IL","50174","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15211","Champaign, IL","147452","12",,,,,,,,
"City of DeKalb, dba: City of DeKalb Public Transit","Dekalb","IL","50176","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","22960","DeKalb, IL","64736","33",,,,,,,,
"City of Columbus, dba: ColumBus Transit","Columbus","IN","50177","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19126","Columbus, IN","60982","10",,,,,,,,
"Porter County Aging and Community Services, Inc.","Valparaiso","IN","50179","Private-Non-Profit Corporation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","7",,,,,,,,
"Livingston County Board of Commissioners, dba: Livingston Essential Transportation Service","Howell","MI","50180","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","83332","South Lyon--Hamburg--Genoa, MI","145963","27",,,,,,,,
"Pace, the Suburban Bus Division of the Regional Transportation Authority, dba: Pace Suburban Bus","Arlington Heights","IL","50182","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","16264","Chicago, IL--IN","8671746","1480",,,,,,,,
"City of Valparaiso, dba: Valpo Transit","Valparaiso","IN","50183","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","90095","Valparaiso--Shorewood Forest, IN","51867","9",,,,,,,,
"Macatawa Area Express Transportation Authority","Holland","MI","50184","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","39430","Holland, MI","107034","23",,,"1326550",,,,,"1326550"
"Northwestern Indiana Regional Planning Commission","Portage","IN","50185","MPO, COG or Other Planning Agency","Planning Reporter","2024","16264","Chicago, IL--IN","8671746","0",,,,,,,,
"Lawrence County Port Authority, dba: Lawrence County Transit","Ironton","OH","50186","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","40753","Huntington, WV--KY--OH","200157","20",,,,,,,,
"Mid-Ohio Regional Planning Commission, dba: MORPC Gohio Commute","Columbus","OH","50191","MPO, COG or Other Planning Agency","Full Reporter","2024","19234","Columbus, OH","1567254","34",,,,,,,,
"Michigan Department of Transportation, dba: MichiVan","Lansing","MI","50193","State Government Unit or Department of Transportation","Full Reporter","2024","23824","Detroit, MI","3776890","186",,,,,,,,
"Boone County Council on Aging","Belvidere","IL","50194","Private-Non-Profit Corporation","Reduced Reporter","2024","75718","Rockford, IL","276443","7",,,,,,,,
"City of Shelby, dba: City of Shelby Taxi","Shelby","OH","50195","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","54091","Mansfield, OH","73545","1",,,,,,,,
"Harbor Transit Multi-Modal Transportation System, dba: Harbor Transit","Grand Haven","MI","50196","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","60841","Muskegon--Norton Shores, MI","166414","24",,,,,,,,
"Medina County","Medina","OH","50198","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","17668","Cleveland, OH","1712178","23",,,,,,,,
"Delaware County Transit Board","Delaware","OH","50199","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","19234","Columbus, OH","1567254","22",,,,,,,,
"County of Warren, dba: Warren County Transit Service","Lebanon","OH","50200","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16885","Cincinnati, OH--KY","1686744","16",,,,,,,,
"Hancock County Senior Services, dba: RIDE Hancock","Greenfield","IN","50201","Private-Non-Profit Corporation","Reduced Reporter","2024","41212","Indianapolis, IN","1699881","11",,,,,,,,
"City of West Bend, dba: City of West Bend Shared-Ride Taxi","West Bend","WI","50202","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Jackson County Mass Transit District","Carbondale","IL","50204","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"20",,,,,,,,
"City of Mankato, dba: Mankato Transit System","Mankato","MN","50205","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","53983","Mankato, MN","60206","18",,,,,,,,
"City of Midland, dba: City of Midland Dial-A-Ride","Midland","MI","50207","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56980","Midland, MI","52340","12",,,,,,,,
"Midland County Board of Commissioners, dba: Education and Training Connection","Midland","MI","50208","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56980","Midland, MI","52340","23",,,,,,,,
"Central Indiana Regional Transportation Authority","Indianapolis","IN","50209","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","41212","Indianapolis, IN","1699881","16",,,,,,,"0","0"
"City of Hartford, dba: Hartford City Taxi","Hartford","WI","50210","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Rides Mass Transit District","Harrisburg","IL","50211","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"116",,,,,,,,
"Stateline Mass Transit District","Rockton","IL","50212","Independent Public Agency or Authority of Transit Service","Separate Service","2024","06760","Beloit, WI--IL","63073","0",,,,,,,,
"M-1 Rail, dba: QLINE Detroit","Detroit","MI","50213","Private-Non-Profit Corporation","Full Reporter","2024","23824","Detroit, MI","3776890","4",,,,,,,,
"Voluntary Action Center","Sycamore","IL","50215","Private-Non-Profit Corporation","Reduced Reporter","2024","22960","DeKalb, IL","64736","19",,,,,,,,
"Iosco Transit Corporation","East Tawas","MI","50217","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"City of Ottawa, dba: North Central Area Transit","Ottawa","IL","50219","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"21",,,,,,,,
"City of Shawano, dba: Shawano City Cab","Shawano","WI","50220","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Bond County, dba: Bond County Transit","Greenville","IL","50221","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16",,,,,,,,
"CRIS Rural Mass Transit District","Danville","IL","50223","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16",,,,,,,,
"Caro Transit Authority","Caro","MI","50224","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"15",,,,,,,,
"Arenac Public Transit Authority, dba: Arenac County Transit","Twining","MI","50225","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9",,,,,,,,
"Dunn County Transit Commission","Menomonie","WI","50226","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"4",,,,,,,,
"Shiawassee Area Transportation Agency","Owosso","MI","50227","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17",,,,,,,,
"City of Richland Center, dba: Richland Center Transit","Richland Center","WI","50229","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Boone County Senior Services, Inc., dba: Boone Area Transit System","Lebanon","IN","50230","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12",,,,,,,,
"Rainbow Rider Transit Board, dba: Rainbow Rider Transit","Lowry","MN","50231","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"34",,,,,,,,
"City of Macomb, dba: McDonough County Public Transportation","Macomb","IL","50232","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16",,,,,,,,
"Thunderbay Transportation Authority","Alpena","MI","50233","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"28",,,,,,,,
"Carroll County, dba: Carroll County Transit","Mount Carroll","IL","50234","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13",,,,,,,,
"City of Monroe, dba: Monroe Cab Company","Monroe","WI","50235","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"Rock Island County, dba: RIM Rural Transit","Rock Island","IL","50237","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10",,,,,,,,
"City of Black River Falls, dba: Black River Falls Public Transit","Black River Falls","WI","50239","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Schoolcraft Transit Authority","Manistique","MI","50240","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"8",,,,,,,,
"Eastern Upper Peninsula Transportation Authority","Sault Sainte Marie","MI","50241","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"12",,,,,,,,
"Roscommon County Transportation Authority","Houghton Lake","MI","50242","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"25",,,,,,,,
"Isabella County Transportation Commission, dba: IRide","Mt. Pleasant","MI","50244","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"38",,,,,,,,
"Marshall County Council on Aging, dba: Marshall County Public Transit","Plymouth","IN","50246","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10",,,,,,,,
"Steuben County Council on Aging, dba: STAR Public Transportation","Angola","IN","50248","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4",,,,,,,,
"City of Richmond, dba: RoseView Transit","Richmond","IN","50249","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Lee County, dba: Lee-Ogle Transportation System","Dixon","IL","50250","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25",,,,,,,,
"Macoupin County, dba: Macoupin County Public Transit","Carlinville","IL","50252","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16",,,,,,,,
"Grundy County, dba: Grundy Transit System","Morris","IL","50253","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10",,,,,,,,
"Carroll County Transit","Carrollton","OH","50255","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"Access Johnson County","Franklin","IN","50256","Private-Non-Profit Corporation","Reduced Reporter","2024","41212","Indianapolis, IN","1699881","16",,,,,,,,
"City of Marshfield, dba: Marshfield Transit","Marshfield","WI","50257","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10",,,,,,,,
"City of Quincy, dba: Quincy Transit","Quincy","IL","50258","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18",,,,,,,,
"Eaton County Transportation Authority","Charlotte","MI","50260","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"27",,,,,,,,
"Morris, City of, dba: Morris Transit","Morris","MN","50262","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Bureau County, dba: Bureau Putnam Area Rural Transit","Princeton","IL","50263","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25",,,,,,,,
"Marshall, City of","Marshall","MI","50265","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"City of Viroqua, dba: Viroqua Shared Ride Taxi Service","Viroqua","WI","50266","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"City of Hillsdale","Hillsdale","MI","50268","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Champaign County, dba: Champaign-County Area Rural Transit System","Urbana","IL","50269","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Madison County Council of Governments, dba: Transportation for Rural Areas of Madison County","Anderson","IN","50272","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"2",,,,,,,,
"Knox Area Transit","Mount Vernon","OH","50275","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"26",,,,,,,,
"Four Rivers Resource Services, dba: Ride Solution","Loogootee","IN","50276","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"51",,,,,,,,
"Village of Plover, dba: Plover Taxi Service","Plover","WI","50277","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Athens Transit, dba: Athens Public Transit","Glouster","OH","50278","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16",,,,,,,,
"Rush County Senior Services, dba: Ride Rush Public Transportation","Rushville","IN","50280","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Cass County Council on Aging, dba: Cass Area Transit","Logansport","IN","50281","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"20",,,,,,,,
"Kalkaska Public Transit Authority, dba: Kalkaska Area Transit","Kalkaska","MI","50282","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16",,,,,,,,
"Warren County, dba: Warren County Public Transportation","Monmouth","IL","50283","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Champaign Transit System","Urbana","OH","50284","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Cheboygan County Board of Commissioners, dba: Cheboygan County BOC Straits Regional Ride","Cheboygan","MI","50285","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13",,,,,,,,
"Grant County, dba: Grant County Taxi Service","Lancaster","WI","50286","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Cardinal Services, dba: Kosciusko Area Bus Service","Warsaw","IN","50289","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9",,,,,,,,
"City of Ripon, dba: Ripon Shared Ride Taxi","Ripon","WI","50290","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Village of Prairie du Sac, dba: Sauk Prairie Taxi","Prairie Du Sac","WI","50291","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Bowling Green Transit, dba: BG Transit","Bowling Green","OH","50292","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Monroe County Public Transportation","Woodsfield","OH","50293","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13",,,,,,,,
"Rusk County Transit Commission","Ladysmith","WI","50295","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"16",,,,,,,,
"Kanabec County, dba: Timber Trails Public Transit","Mora","MN","50297","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Ottawa County Transportation Agency, dba: OCTA Public Transit","Oak Harbor","OH","50298","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16",,,,,,,,
"Henry County, dba: Henry County Public Transportation","Cambridge","IL","50301","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14",,,,,,,,
"City of Washington, dba: Washington Transit System","Washington","IN","50302","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"City of River Falls, dba: River Falls Taxi Service","River Falls","WI","50303","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Fulton County, dba: Fulton County Rural Transit","Lewistown","IL","50304","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"LaGrange County Council on Aging, dba: LaGrange County Area Transit","Lagrange","IN","50305","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8",,,,,,,,
"LifeStream Services, dba: The New Interurban","Yorktown","IN","50307","Area Agency on Aging","Rural Reporter","2024",,,,"14",,,,,,,,
"Area 10 Council on Aging of Monroe County, dba: Rural Transit","Ellettsville","IN","50308","Area Agency on Aging","Rural Reporter","2024",,,,"12",,,,,,,,
"Cass County Transportation Authority","Cassopolis","MI","50310","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9",,,,,,,,
"Charlevoix County Board of Commissioners","Charlevoix","MI","50313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"19",,,,,,,,
"Clinton Area Transit System, dba: My Blue Bus","Saint Johns","MI","50314","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"29",,,,,,,,
"Shawnee Mass Transit District, dba: Shawnee Mass Transit","Vienna","IL","50315","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"44",,,,,,,,
"Wilmington Transit System","Wilmington","OH","50316","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"City of Baraboo, dba: Baraboo Transit","Baraboo","WI","50318","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"City of Watertown, dba: Watertown Transit","Watertown","WI","50319","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"Volunteer Interfaith Network Effort, dba: Vine Faith in Action","Mankato","MN","50321","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Brainerd, City of, dba: Brainerd & Crow Wing Public Transit","Brainerd","MN","50322","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"LifeTime Resources, dba: Catch-a-Ride","Dillsboro","IN","50324","Area Agency on Aging","Rural Reporter","2024",,,,"20",,,,,,,,
"South Central Illinois Mass Transit District, dba: South Central Transit","Centralia","IL","50327","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"112",,,,,,,,
"Kankakee County, dba: SHOW BUS Public Transportation, NFP","Kankakee","IL","50328","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10",,,,,,,,
"Woodford County, dba: We Care, Inc.","Eureka","IL","50329","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"DeKalb County Council on Aging, dba: Dekalb Area Rural Transit","Auburn","IN","50330","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7",,,,,,,,
"Hibbing, City of, dba: Hibbing Area Transit","Hibbing","MN","50332","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Prairie Five CAC, Inc., dba: Prairie Five Rides","Montevideo","MN","50334","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"32",,,,,,,,
"Greater Lapeer Transportation Authority","Lapeer","MI","50335","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"27",,,,,,,,
"City of Waupaca, dba: Waupaca Taxi","Waupaca","WI","50336","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Branch Area Transit Authority","Coldwater","MI","50337","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13",,,,,,,,
"McLean County, dba: SHOW BUS Public Transportation, NFP","Bloomington","IL","50338","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"27",,,,,,,,
"Monroe Randolph Transit District","Sparta","IL","50339","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Otsego County Board of Commissioners","Gaylord","MI","50340","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14",,,,,,,,
"South East Area Transit","Zanesville","OH","50341","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"79",,,,,,,,
"Hendricks County Sycamore Services, dba: LINK Hendricks County; Morgan County CONNECT","Danville","IN","50342","Private-Non-Profit Corporation","Full Reporter","2024","41212","Indianapolis, IN","1699881","39",,,,,,,,
"Perry County Transit","New Lexington","OH","50343","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"32",,,,,,,,
"Ogemaw County Board of Commissioners","West Branch","MI","50344","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"Effingham County, dba: Effingham County Public Transportation","Effingham","IL","50345","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13",,,,,,,,
"Sanilac County Board of Commissioners","Sandusky","MI","50346","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16",,,,,,,,
"Blue River Services, dba: Southern Indiana Transit System","Corydon","IN","50347","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9",,,,,,,,
"Winona, City of, dba: Winona Transit Service","Winona","MN","50349","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"City of Waupun, dba: Waupun Taxi","Waupun","WI","50350","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Kendall County, dba: Kendall Area Transit","Yorkville","IL","50352","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17",,,,,,,,
"Tri-Valley Opportunity Council, Inc., dba: Tri-Valley Heartland Express","Crookston","MN","50353","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"28",,,,,,,,
"City of Huntingburg, dba: Huntingburg Transit System","Huntingburg","IN","50354","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Barry County Board of Commissioners","Hastings","MI","50355","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17",,,,,,,,
"Delta Area Transit Authority","Escanaba","MI","50356","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18",,,,,,,,
"City of New Castle, dba: New Castle Transit","New Castle","KY","50358","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"City of Stevens Point","Stevens Point","WI","50359","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"City of New Richmond, dba: New Richmond Public Transit","New Richmond","WI","50360","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Huntington County Council on Aging, dba: Huntington Area Transportation","Huntington","IN","50361","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14",,,,,,,,
"Scioto County/Access Scioto County, dba: Access Scioto County","Portsmouth","OH","50363","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Jo Daviess County, dba: Jo Daviess County Transit","Galena","IL","50364","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18",,,,,,,,
"Area IV Agency on Aging and Community Action Programs, dba: Tippecanoe County Transportation","Lafayette","IN","50365","Area Agency on Aging","Rural Reporter","2024",,,,"3",,,,,,,,
"Door County, dba: Door County Connect","Sturgeon Bay","WI","50366","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"Manistee County Board of Commissioners","Manistee","MI","50369","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23",,,,,,,,
