"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fta_urbanized_area_formula","fta_capital_program_5309","fta_rural_progam_5311","other_fta_funds","other_dot_funds","other_federal_funds","total_federal_funds"
"Hendricks County Sycamore Services, dba: LINK Hendricks County; Morgan County CONNECT","Danville","IN","50342","Private-Non-Profit Corporation","Full Reporter","2024","41212","Indianapolis, IN","1699881","39","774232","0","272859","0","0","0","1047091"
"Perry County Transit","New Lexington","OH","50343","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"32","535940","0","1371937","0","0","0","1907877"
"Ogemaw County Board of Commissioners","West Branch","MI","50344","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","309877","0","229303","0","0","0","539180"
"Effingham County, dba: Effingham County Public Transportation","Effingham","IL","50345","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","109161","0","0","0","109161"
"Sanilac County Board of Commissioners","Sandusky","MI","50346","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","1542944","71990","0","0","1614934"
"Blue River Services, dba: Southern Indiana Transit System","Corydon","IN","50347","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","0","0","380031","0","0","0","380031"
"Winona, City of, dba: Winona Transit Service","Winona","MN","50349","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","458697","0","0","0","458697"
"City of Waupun, dba: Waupun Taxi","Waupun","WI","50350","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","135504","0","0","0","135504"
"Kendall County, dba: Kendall Area Transit","Yorkville","IL","50352","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","57364","367379","0","0","424743"
"Tri-Valley Opportunity Council, Inc., dba: Tri-Valley Heartland Express","Crookston","MN","50353","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"28","0","0","2032268","0","0","0","2032268"
"City of Huntingburg, dba: Huntingburg Transit System","Huntingburg","IN","50354","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","129605","0","0","0","129605"
"Barry County Board of Commissioners","Hastings","MI","50355","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","307041","0","552967","0","0","0","860008"
"Delta Area Transit Authority","Escanaba","MI","50356","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","0","0","507415","32619","0","0","540034"
"City of New Castle, dba: New Castle Transit","New Castle","KY","50358","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","341134","0","0","0","341134"
"City of Stevens Point","Stevens Point","WI","50359","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","1142106","0","0","0","1142106"
"City of New Richmond, dba: New Richmond Public Transit","New Richmond","WI","50360","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","210508","0","0","0","210508"
"Huntington County Council on Aging, dba: Huntington Area Transportation","Huntington","IN","50361","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"14","255187","0","373598","0","0","0","628785"
"Scioto County/Access Scioto County, dba: Access Scioto County","Portsmouth","OH","50363","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","380080","0","0","0","380080"
"Jo Daviess County, dba: Jo Daviess County Transit","Galena","IL","50364","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","0","0","220066","0","0","0","220066"
"Area IV Agency on Aging and Community Action Programs, dba: Tippecanoe County Transportation","Lafayette","IN","50365","Area Agency on Aging","Rural Reporter","2024",,,,"3","0","0","99500","0","0","0","99500"
"Door County, dba: Door County Connect","Sturgeon Bay","WI","50366","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","457418","0","0","0","457418"
"Manistee County Board of Commissioners","Manistee","MI","50369","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","609340","0","1128850","44004","0","0","1782194"
"Huron County Board of Commissioners, dba: Thumb Area Transit","Bad Axe","MI","50370","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"49","1291216","0","2267830","1110889","0","0","4669935"
"Ontonagon County Board of Commissioners","Ontonagon","MI","50371","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","248276","0","0","0","248276"
"Cadillac/Wexford Transit Authority, dba: Wexexpress","Cadillac","MI","50374","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"32","7200","0","726498","213128","0","0","946826"
"City of Whitewater, dba: Whitewater Shared-Ride Taxi","Whitewater","WI","50375","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","87725","0","0","0","87725"
"Hancock Area Transportation Services","Findlay","OH","50377","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"36","0","0","1760893","0","0","0","1760893"
"Becker County","Detroit Lakes","MN","50379","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","340646","0","0","0","340646"
"Ashland Public Transit","Ashland","OH","50382","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","72512","0","455034","0","0","0","527546"
"Van Buren County Board of Commissioners","Paw Paw","MI","50383","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","499270","0","695888","0","0","0","1195158"
"Brown County, dba: Brown County Heartland Express","New Ulm","MN","50384","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","614391","0","0","0","614391"
"Hancock County, dba: Hancock County Public Transportation System","Carthage","IL","50385","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","133582","0","0","0","133582"
"City of Houghton","Houghton","MI","50386","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","107945","0","0","0","107945"
"Union County Council on Aging, dba: Union County Transit","Liberty","IN","50387","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","93985","0","395117","0","0","0","489102"
"Marion Area Transit","Marion","OH","50388","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","748656","0","0","0","748656"
"Orange County First Chance Center, dba: Orange County Transit System","Paoli","IN","50389","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","55290","0","218966","0","0","0","274256"
"Ashtabula County Transportation System","Jefferson","OH","50390","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","0","0","733263","0","0","0","733263"
"City of Edgerton, dba: Edgerton Taxi","Edgerton","WI","50391","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","41769","0","0","0","41769"
"YMCA of Vincennes, dba: VanGo","Vincennes","IN","50392","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"15","187970","0","503195","0","0","0","691165"
"Trailblazer Joint Powers Board, dba: Trailblazer Transit","Glencoe","MN","50394","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"35","0","0","2101868","0","0","0","2101868"
"Gladwin County Board of Commissioners","Gladwin","MI","50395","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","212319","0","425768","0","0","0","638087"
"City of Jefferson, dba: Jefferson Shared-Ride Taxi","Jefferson","WI","50396","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","95537","0","0","0","95537"
"Hubbard County, dba: Hubbard County Heartland Express","Park Rapids","MN","50397","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","309284","0","0","0","309284"
"City of Belding","Belding","MI","50398","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","354859","0","54883","0","0","0","409742"
"Fayette County Senior Center, dba: Fayette County Public Transit","Connersville","IN","50399","Area Agency on Aging","Rural Reporter","2024",,,,"9","0","0","207281","0","0","0","207281"
"City of Fort Atkinson, dba: Brown Cab","Fort Atkinson","WI","50400","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","163356","0","0","0","163356"
"Bay Area Rural Transit Commission","Ashland","WI","50401","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","252863","0","2737237","0","0","0","2990100"
"Wells County Council on Aging, dba: Wells on Wheels","Bluffton","IN","50403","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","661128","0","408079","0","0","0","1069207"
"City of Greenville","Greenville","MI","50404","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","153389","0","0","0","153389"
"City of Wisconsin Rapids, dba: Wisconsin Rapids Public","Wisconsin Rapids","WI","50405","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","558449","0","0","0","558449"
"Lancaster Public Transit System, dba: Lancaster-Fairfield Public Transit","Lancaster","OH","50406","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19234","Columbus, OH","1567254","16","0","0","1083520","0","0","0","1083520"
"City of Bedford, dba: Transit Authority of Stone City","Bedford","IN","50407","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","291021","0","297705","0","0","0","588726"
"Hancock, City of","Hancock","MI","50408","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","66392","0","0","0","66392"
"Clintonville Transit Commission, dba: Clintonville Taxi","Clintonville","WI","50409","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"2","0","0","76140","0","0","0","76140"
"Fayette County Transportation Program, dba: Fayette County Transportation","Washington Court House","OH","50410","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19","288106","0","860315","0","0","0","1148421"
"Logan County, dba: SHOW BUS Public Transportation, NFP","Lincoln","IL","50411","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","116362","0","0","0","116362"
"City of Freeport, dba: Pretzel Area Transit","Freeport","IL","50412","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","335517","0","0","0","335517"
"Bay Area Transportation Authority","Traverse City","MI","50413","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","88300","Traverse City--Garfield, MI","56890","51","4528810","0","3307476","0","0","0","7836286"
"West Central Mass Transit District","Jacksonville","IL","50414","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"25","0","0","304324","0","0","28839","333163"
"Greenville Transit System","Greenville","OH","50415","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","336248","0","0","0","336248"
"Mecosta Osceola Transit Authority","Big Rapids","MI","50416","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","139735","0","309046","0","0","0","448781"
"City of Tomah, dba: Tomah Transit","Tomah","WI","50418","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","544881","0","0","0","544881"
"Tazewell County, dba: TCRC Inc., DBA We Care","Pekin","IL","50420","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","0","0","309215","0","0","0","309215"
"Morgan County Transit","Mcconnelsville","OH","50421","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25","84147","0","784326","0","0","0","868473"
"Noble County Council on Aging, dba: Noble Transit System","Albion","IN","50422","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","149275","0","337606","0","0","0","486881"
"Transportation for Logan County, dba: RTC Transportation","Bellefontaine","OH","50424","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"25","0","0","0","0","0","0","0"
"Piatt County","Monticello","IL","50425","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","0","0","94290","0","0","0","94290"
"Marquette County Transit Authority, dba: MARQ-TRAN","Marquette","MI","50427","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30","0","0","983314","0","0","0","983314"
"Semcac, dba: Rolling Hills Transit","Rushford","MN","50428","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","0","0","939135","0","0","0","939135"
"Chillicothe Transit System","Chillicothe","OH","50429","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","2786750","0","0","0","2786750"
"Fosston, City of, dba: Fosston Transit","Fosston","MN","50430","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","60536","0","0","0","60536"
"City of Platteville, dba: Platteville Public Transportation","Platteville","WI","50431","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","464924","0","0","0","464924"
"County of Kenosha, dba: Western Kenosha Transportation","Kenosha","WI","50432","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","145331","0","0","0","145331"
"Great Lakes Community Action Partnership, dba: TRIPS Public Transportation","Fremont","OH","50433","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","0","0","755232","0","0","0","755232"
"Pickaway Area Rural Transit, dba: PICCA Transit","Circleville","OH","50434","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","200502","0","293308","0","0","0","493810"
"City of Lake Mills, dba: Lake Mills Taxi","Lake Mills","WI","50435","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","59307","0","0","0","59307"
"St. Joseph County Transportation Authority","Three Rivers","MI","50436","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"24","225565","0","573463","19601","0","0","818629"
"City of Big Rapids","Big Rapids","MI","50437","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","100000","0","228972","0","0","0","328972"
"Logan Transit System, dba: Logan Public Transit","Glouster","OH","50438","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","168855","0","396806","0","0","0","565661"
"Seneca-Crawford Area Transportation, dba: North Central Area Transit","Tiffin","OH","50440","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"31","454876","0","1134803","0","0","0","1589679"
"Living Wells in Wabash County Council on Aging, dba: Wabash County Transit","Wabash","IN","50441","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","183516","0","224133","0","0","0","407649"
"County of La Crosse, dba: Scenic Mississippi Regional Transit","La Crosse","WI","50442","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","9183","0","340260","0","0","0","349443"
"White County Council on Aging, dba: White County Public Transit","Monticello","IN","50444","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","55174","0","141498","0","0","0","196672"
"Wadena County, dba: Friendly Rider","Wadena","MN","50446","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","515675","0","0","0","515675"
"Coles County, dba: Coles County Council on Aging","Charleston","IL","50447","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","226255","0","0","0","226255"
"Watonwan County, dba: Watonwan Take Me There","Saint James","MN","50448","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","165491","0","0","0","165491"
"Cedar Valley Services, Inc., dba: Southern Minnesota Area Rural Transit","Austin","MN","50450","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"29","0","0","1869609","0","0","0","1869609"
"Antrim County Board of Commissioners","Bellaire","MI","50452","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","61429","0","270554","0","0","0","331983"
"Clare County Transit Corporation","Harrison","MI","50453","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","0","0","485915","0","0","0","485915"
"Miami County YMCA, dba: YMCA - Miami County Public Transit","Peru","IN","50454","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","161422","0","240228","0","0","0","401650"
"Gogebic County Transit","Ironwood","MI","50455","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","0","0","289120","32000","0","0","321120"
"County of Allegan","Allegan","MI","50456","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"22","411542","0","1008062","46177","0","0","1465781"
"Benzie Transportation Authority","Beulah","MI","50457","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"20","126478","0","669844","14811","0","0","811133"
"Whiteside County, dba: Whiteside County Public Transportation","Morrison","IL","50458","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","234261","0","0","0","234261"
"Ludington Mass Transportation Authority","Ludington","MI","50459","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","23479","0","875466","0","0","0","898945"
"City of Manitowoc, dba: Maritime Metro Transit","Manitowoc","WI","50461","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","1189802","0","0","0","1189802"
"Harrison County Rural Transit","Cadiz","OH","50462","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","348450","0","0","0","348450"
"Berrien County Board of Commissioners","Saint Joseph","MI","50463","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","715183","0","0","0","715183"
"Pike County/Community Action Transit System, dba: Community Action Transit System","Piketon","OH","50464","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","327652","0","384125","0","0","0","711777"
"City of Beaver Dam, dba: Beaver Dam Shared Ride Taxi","Beaver Dam","WI","50466","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","413463","0","0","0","413463"
"Whitley County Council on Aging, dba: Whitley County Transit","Columbia City","IN","50468","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","147048","0","333691","0","0","0","480739"
"City of Portage, dba: Portage Cab","Portage","WI","50470","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","452828","0","0","0","452828"
"Southwestern MN Opportunity Council, Inc., dba: Prairieland Transit System","Worthington","MN","50471","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","339627","0","0","0","339627"
"Lenawee Public Transportation Authority","Adrian","MI","50473","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","191810","0","669762","35936","0","0","897508"
"Tri-County Action Program, Inc.","Waite Park","MN","50474","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"22","0","0","1738424","0","0","0","1738424"
"Yates Township","Idlewild","MI","50476","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","370115","0","0","0","370115"
"City of Marinette, dba: Marinette City Shared Ride Taxi","Marinette","WI","50478","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","194470","0","0","0","194470"
"Columbiana County/Community Action Rural Transit System, dba: Community Action Rural Transit System","Lisbon","OH","50481","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"27","101234","0","1165259","0","0","0","1266493"
"City of Prairie du Chien, dba: Coulee Cab","Prairie Du Chien","WI","50482","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","213454","0","0","0","213454"
"Franklin County Senior Services, dba: Franklin County Public Transit","Brookville","IN","50483","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","91758","0","233796","0","0","0","325554"
"Fulton County Council on Aging, dba: Fulton County TRANSPO","Rochester","IN","50484","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","213883","0","0","0","213883"
"City of Marion, dba: Marion Transit System","Marion","IN","50485","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","107468","0","707075","0","0","0","814543"
"City of Sault Sainte Marie","Sault Sainte Marie","MI","50487","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","214348","0","0","0","214348"
"Paul Bunyan Transit","Bemidji","MN","50489","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","642175","0","0","0","642175"
"City of Reedsburg, dba: Reedsburg Taxi Service","Reedsburg","WI","50490","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","305100","0","0","0","305100"
"City of Medford, dba: Medford Shared-Ride Taxi","Medford","WI","50491","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","99144","0","0","0","99144"
"City of Alma","Alma","MI","50492","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","123263","0","285044","0","0","0","408307"
"West Central Indiana Economic Development District, dba: Thrive Transportation","Terre Haute","IN","50493","Area Agency on Aging","Rural Reporter","2024",,,,"7","457354","0","292380","0","0","0","749734"
"City of Dowagiac","Dowagiac","MI","50494","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","62411","0","0","0","62411"
"Interurban Transit Authority","Douglas","MI","50495","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"7","61269","0","289318","0","0","0","350587"
"Shelby County, dba: Central Illinois Public Transit","Shelbyville","IL","50496","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"21","0","0","453953","0","0","0","453953"
"Shelby Public Transit","Sidney","OH","50497","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","473278","0","0","0","473278"
"Paul Philippe Resource Center, dba: Clinton County Transit","Frankfort","IN","50499","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","149275","0","297284","0","0","0","446559"
"City of Rhinelander, dba: Rhinelander Shared Ride Taxi","Rhinelander","WI","50500","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","167630","0","0","0","167630"
"City of Seymour, dba: Seymour Public Transit","Seymour","IN","50501","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","215813","0","0","0","215813"
"City of Galesburg, dba: City of Galesburg Public Transportation","Galesburg","IL","50502","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","416819","0","0","0","416819"
"Crawford County Transportation Authority","Grayling","MI","50503","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"17","64804","0","543028","0","0","0","607832"
"Productive Alternatives, dba: Transit Alternatives","Fergus Falls","MN","50504","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","0","0","1030550","0","0","0","1030550"
"City of Merrill, dba: Merrill-Go-Round","Merrill","WI","50505","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","216866","0","0","0","216866"
"City of Berlin, dba: Berlin Shared Ride Taxi Service","Berlin","WI","50506","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","182403","0","0","0","182403"
"Sawyer County/LCO Transit Commission, dba: Namekagon Transit","Hayward","WI","50507","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","0","0","1327992","0","0","0","1327992"
"Three Rivers Community Action, Inc., dba: Hiawathaland Transit","Zumbrota","MN","50510","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"21","0","0","2309888","0","0","0","2309888"
"ALTRAN Transit Authority","Munising","MI","50511","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"15","80873","0","293600","0","0","0","374473"
"City of Mauston, dba: Mauston Public Transit","Mauston","WI","50513","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","197617","0","0","0","197617"
"City of Ionia","Ionia","MI","50514","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","168103","18035","0","0","186138"
"University of Minnesota","Minneapolis","MN","50515","University","Full Reporter","2024","57628","Minneapolis--St. Paul, MN","2914866","18","0","0","0","0","0","0","0"
"City of Plymouth, dba: Plymouth Metrolink","Minneapolis","MN","50516","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","57628","Minneapolis--St. Paul, MN","2914866","21","0","0","0","0","0","0","0"
"City of Maple Grove, dba: Maple Grove Transit","Maple Grove","MN","50517","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","57628","Minneapolis--St. Paul, MN","2914866","10","0","0","0","0","0","0","0"
"SouthWest Transit","Eden Prairie","MN","50518","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","57628","Minneapolis--St. Paul, MN","2914866","37","342130","0","0","0","0","0","342130"
"Minnesota Valley Transit Authority","Burnsville","MN","50519","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","57628","Minneapolis--St. Paul, MN","2914866","101","1738373","0","0","0","0","0","1738373"
"Arrowhead Economic Opportunity Agency, Inc., dba: Arrowhead Transit","Virginia","MN","50520","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"103","0","0","7200069","0","0","0","7200069"
"Chicago Water Taxi (Wendella)","Chicago","IL","50521","Private-For-Profit Corporation","Full Reporter","2024","16264","Chicago, IL--IN","8671746","3","0","0","0","0","0","0","0"
"Lake Erie Transportation Commission, dba: Lake Erie Transit","Monroe","MI","50522","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","58357","Monroe, MI","57260","23","1327521","0","221327","0","0","0","1548848"
"Sault Ste. Marie Tribe of Chippewa Indians, dba: Tribal Transit","Sault Sainte Marie","MI","50523","Tribe","Reduced Reporter","2024","00026","Michigan Non-UZA","3418966","6","0","0","210439","0","0","0","210439"
"YWCA Madison Inc.","Madison","WI","50524","Private-Non-Profit Corporation","Reduced Reporter","2024","53200","Madison, WI","450305","9","0","0","353725","78765","0","39408","471898"
"Hamilton County, dba: Hamilton County Express","Noblesville","IN","50525","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","41212","Indianapolis, IN","1699881","17","1062325","0","0","0","0","0","1062325"
"Hancock County, Indiana","Greenfield","IN","50526","City, County or Local Government Unit or Department of Transportation","Planning Reporter","2024","41212","Indianapolis, IN","1699881","0","290250","0","0","0","0","0","290250"
"Bloom Township, dba: Senior Wheels","Chicago Heights","IL","50527","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","5","0","0","0","0","0","31247","31247"
"Calumet Township","Blue Island","IL","50528","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","3","0","0","0","0","0","0","0"
"City of Palos Heights","Palos Heights","IL","50530","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0","0","0","0"
"Grant Township","Ingleside","IL","50531","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","76474","Round Lake Beach--McHenry--Grayslake, IL--WI","261835","2","0","0","0","0","0","0","0"
"Hanover Township","Bartlett","IL","50532","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","9","0","0","0","0","0","22163","22163"
"McHenry Township","Johnsburg","IL","50533","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","76474","Round Lake Beach--McHenry--Grayslake, IL--WI","261835","4","0","0","0","0","0","0","0"
"Orland Township","Orland Park","IL","50534","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0","0","0","0"
"Village of Fox Lake","Fox Lake","IL","50536","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","76474","Round Lake Beach--McHenry--Grayslake, IL--WI","261835","1","0","0","0","0","0","0","0"
"Village of Harwood Heights","Harwood Heights","IL","50537","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0","0","0","0"
"Village of Melrose Park","Melrose Park","IL","50538","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0","0","0","0"
"Village of River Grove","River Grove","IL","50540","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0","0","0","0"
"Village of South Chicago Heights, dba: Courtesy Transportation Van","South Chicago Heights","IL","50541","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0","0","0","0"
