"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_funds","transportation_funds","reduced_reporter_funds","total","total_questionable"
"McHenry Township","Johnsburg","IL","50533","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","76474","Round Lake Beach--McHenry--Grayslake, IL--WI","261835","4","0","0","0","0",
"Orland Township","Orland Park","IL","50534","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0",
"Village of Fox Lake","Fox Lake","IL","50536","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","76474","Round Lake Beach--McHenry--Grayslake, IL--WI","261835","1","0","0","0","0",
"Village of Harwood Heights","Harwood Heights","IL","50537","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0",
"Village of Melrose Park","Melrose Park","IL","50538","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0",
"Village of River Grove","River Grove","IL","50540","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0",
"Village of South Chicago Heights, dba: Courtesy Transportation Van","South Chicago Heights","IL","50541","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0",
"Waukegan Township","Waukegan","IL","50542","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0",
"Wheeling Township","Arlington Heights","IL","50543","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","7","0","0","0","0",
"Worth Township","Alsip","IL","50544","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","3","0","0","0","0",
"Village of Bellwood","Bellwood","IL","50545","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0",
"Moraine Township","Highland Park","IL","50546","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0",
"Town of Cicero","Cicero","IL","50547","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","5","0","0","0","0",
"Rich Township","Richton Park","IL","50548","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","6","0","0","0","0",
"Village of Orland Park","Orland Park","IL","50549","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0",
"Village of Orland Hills","Orland Hills","IL","50550","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0",
"City of Oak Forest","Oak Forest","IL","50551","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0",
"Lemont Township","Lemont","IL","50552","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","3","0","0","0","0",
"Lake Villa Township, dba: Tri-Township Transit","Lake Villa","IL","50553","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","76474","Round Lake Beach--McHenry--Grayslake, IL--WI","261835","1","0","0","0","0",
"Lisle Township","Lisle","IL","50554","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0",
"Palatine Township","Palatine","IL","50555","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","4","0","0","0","0",
"Washington Township, dba: Township Dial-A-Ride","Beecher","IL","50556","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0",
"Bremen Township, dba: Senior Wheels","Oak Forest","IL","50557","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","5","0","0","0","0",
"Hampshire Township","Hampshire","IL","50558","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","4","0","0","0","0",
"Village of Forest Park","Forest Park","IL","50559","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0",
"Village of Norridge, dba: Norridge Bus Service","Norridge","IL","50560","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0",
"Triton College, dba: Success Express","River Grove","IL","50561","University","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0",
"Village of Elmwood Park","Elmwood Park","IL","50562","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0",
"Village of Crestwood","Crestwood","IL","50563","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0",
"Village of Park Forest, dba: Jolly Trolley","Park Forest","IL","50564","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","0","0",
"City of Berwyn","Berwyn","IL","50565","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","7","0","0","107000","107000",
"Village of Schaumburg","Schaumburg","IL","50566","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","11","0","0","0","0",
"City of Palos Hills, dba: Palos Area Transportation for Elderly and Disabled","Palos Hills","IL","50567","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","2","0","0","21622","21622",
"City of Wood Dale, dba: Dial-A-Ride","Wood Dale","IL","50568","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","0","0",
"Chicago State University","Chicago","IL","50569","University","Reduced Reporter","2024","16264","Chicago, IL--IN","8671746","1","0","0","52688","52688",
"Grand Portage Reservation Tribal Council, dba: Grand Portage Tribal Transit","Grand Portage","MN","55222","Tribe","Reduced Reporter","2024","00027","Minnesota Non-UZA","2336986","7","0","0","0","0",
"Menominee Indian Tribe of Wisconsin, dba: Menominee Regional Public Transit","Keshena","WI","55228","Tribe","Reduced Reporter","2024","00055","Wisconsin Non-UZA","2782206","28","0","0","275652","275652",
"Red Lake Band of the Chippewa, dba: Red Lake Nation Transit","Redlake","MN","55234","Tribe","Reduced Reporter","2024","00027","Minnesota Non-UZA","2336986","5","0","0","0","0",
"Lac Courte Oreilles Band of Ojibwe, dba: Namekagon Transit","Hayward","WI","55240","Tribe","Reduced Reporter","2024","00055","Wisconsin Non-UZA","2782206","2","0","0","0","0",
"Fond du Lac Reservation, dba: FDL Transit","Carlton","MN","55246","Tribe","Reduced Reporter","2024","00027","Minnesota Non-UZA","2336986","7","0","0","0","0",
"Bois Forte Band of Chippewa, dba: Big Woods Transit","Orr","MN","55252","Tribe","Reduced Reporter","2024","00027","Minnesota Non-UZA","2336986","11","0","0","0","0",
"Leech Lake Band of Ojibwe","Cass Lake","MN","55258","Tribe","Reduced Reporter","2024","00027","Minnesota Non-UZA","2336986","11","0","0","0","0",
"White Earth Band of Chippewa, dba: White Earth Public Transit","Ogema","MN","55270","Tribe","Reduced Reporter","2024","00027","Minnesota Non-UZA","2336986","10","0","0","0","0",
"Oneida Tribe of Indians of Wisconsin, dba: Oneida Public Transit","Green Bay","WI","55276","Tribe","Reduced Reporter","2024","00055","Wisconsin Non-UZA","2782206","9","0","0","98677","98677",
"Bad River Band of Lake Superior Tribe of Chippewa, dba: Bad River Tribe","Odanah","WI","55282","Tribe","Reduced Reporter","2024","00055","Wisconsin Non-UZA","2782206","2","0","0","0","0",
"Lac du Flambeau Band of Lake Superior Chippewa Indians, dba: LdF Transit","Lac Du Flambeau","WI","55300","Tribe","Reduced Reporter","2024","00055","Wisconsin Non-UZA","2782206","6","0","0","51763","51763",
"Sangamon County, dba: Sangamon/Menard Area Regional Transit","Springfield","IL","55307","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","361824","361824",
"City of Stoughton","Stoughton","WI","55308","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","53200","Madison, WI","450305","6","0","0","209752","209752",
"Kankakee-Iroquois Regional Planning Commission, dba: Arrowhead County Public Transportation","Monon","IN","55310","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"18","0","0","238871","238871",
"City of Cincinnati, dba: The Connector","Cincinnati","OH","55311","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","16885","Cincinnati, OH--KY","1686744","4","0","1021340","0","1021340",
"City of Milwaukee, dba: Milwaukee Streetcar System - The Hop Streetcar MKE","Milwaukee","WI","55312","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","57466","Milwaukee, WI","1306795","3","0","0","0","0",
"Marshall County, dba: Marshall County Public Transportation","Lacon","IL","55313","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","235700","235700",
"Central Community Transit Joint Powers Board, dba: Central Community Transit","Willmar","MN","55314","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"27","0","0","1858346","1858346",
"Douglas County (Illinois), dba: Coles County Council on Aging","Charleston","IL","55315","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","209200","209200",
"Jersey County","Jerseyville","IL","55316","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","509214","509214",
"County of Walworth, dba: Wal-to-Wal DIAL-a-RIDE","Elkhorn","WI","55318","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","143891","143891",
"Oneida-Vilas Transit Commission, dba: Northwoods Transit Connections","Rhinelander","WI","55319","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"10","0","0","61277","61277",
"Faribault-Martin Counties Joint Powers, dba: Prairie Lakes Transit","Fairmont","MN","55320","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"9","0","0","708962","708962",
"Peoples Express","Whitmore Lake","MI","55321","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"24","0","0","1196165","1196165",
"Western-Washtenaw Area Value Express","Dexter","MI","55322","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"17","0","0","935980","935980",
"Pioneer Resources","Muskegon","MI","55323","Private-Non-Profit Corporation","Reduced Reporter","2024","60841","Muskegon--Norton Shores, MI","166414","20","0","0","1217740","1217740",
"Washington County Commissioners, dba: Community Action Bus Lines","Marietta","OH","55324","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","198633","198633",
"Minnesota River Valley Transit","Saint Peter","MN","55325","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"6","0","0","458232","458232",
"United Community Action Partnership, Inc., dba: Community Transit","Marshall","MN","55326","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"39","0","0","2212886","2212886",
"County of Clark, dba: Clark County Taxi","Neillsville","WI","55327","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","46723","46723",
"Key Opportunities","Hillsdale","MI","55440","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8","0","0","23980","23980",
"Coshocton County Coordinated Transportation Agency","Coshocton","OH","55469","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","83250","83250",
"FRS Transportation, Inc, dba: FRS Transportation","Hillsboro","OH","55474","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"68","0","0","0","0",
"Henry County Transportation Network","Napoleon","OH","55480","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"24","0","0","388446","388446",
"Morrow County Area Transit","Cardington","OH","55491","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"20","0","0","344947","344947",
"Preble County Council on Aging, Inc., dba: Preble Transit","Eaton","OH","55493","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"17","0","0","329237","329237",
"Access Tusc, dba: Access Tusc Transit","New Philadelphia","OH","55657","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0","0","353960","353960",
"Shelby Senior Services, dba: ShelbyGo Public Transit","Shelbyville","IN","55664","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","65134","65134",
"Brown County YMCA, dba: ACCESS Brown County Public Transit","Nashville","IN","55665","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"4","0","0","28396","28396",
"Meigs County Public Transit, dba: Meigs Transit","Pomeroy","OH","55668","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","150000","150000",
"City of Hudson, dba: Hudson Public Transit","Hudson","WI","55670","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","14954","14954",
"Adams County Council on Aging, dba: Adams County Public Transit","Decatur","IN","55676","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","0","0","0","0",
"City of Amarillo, dba: Amarillo City Transit","Amarillo","TX","60001","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","01927","Amarillo, TX","205860","23","0","0","466403","466403",
"Chickasaw Nation, dba: the Chickasaw Nation","Ada","OK","60002","Tribe","Reduced Reporter","2024","00040","Oklahoma Non-UZA","1994607","14","0","0","0","0",
"Choctaw Nation of Oklahoma","Durant","OK","60003","Tribe","Reduced Reporter","2024","00040","Oklahoma Non-UZA","1994607","36","0","0","0","0",
"Citizen Potawatomi Nation","Shawnee","OK","60004","Tribe","Reduced Reporter","2024","00040","Oklahoma Non-UZA","1994607","7","0","0","0","0",
"Comanche Nation, dba: Comanche Nation Transit Program","Lawton","OK","60005","Tribe","Reduced Reporter","2024","00040","Oklahoma Non-UZA","1994607","15","0","0","0","0",
"City of El Paso, dba: Sun Metro","El Paso","TX","60006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","27253","El Paso, TX--NM","854584","152","58564","0","0","58564",
"Fort Worth Transportation Authority, dba: Trinity Metro","Fort Worth","TX","60007","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","22042","Dallas--Fort Worth--Arlington, TX","5732354","424","0","0","0","0",
"Metropolitan Transit Authority of Harris County, Texas, dba: METRO","Houston","TX","60008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","40429","Houston, TX","5853575","1567","116550","0","0","116550",
"City of Laredo, dba: Laredo Transit Management Inc.","Laredo","TX","60009","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","47854","Laredo, TX","251462","45","583497","0","0","583497",
"City of Lubbock, dba: Citibus","Lubbock","TX","60010","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","51877","Lubbock, TX","272280","84","0","768411","0","768411",
"VIA Metropolitan Transit, dba: VIA","San Antonio","TX","60011","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78580","San Antonio, TX","1992689","715","0","2712708","0","2712708",
"City of Waco, dba: Waco Transit System, Inc.","Waco","TX","60012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","91027","Waco, TX","192844","30","0","696539","0","696539",
"City of Port Arthur, dba: Port Arthur Transit","Port Arthur","TX","60013","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70993","Port Arthur, TX","116819","8","0","0","123548","123548",
"City of Brownsville, dba: Brownsville Metro","Brownsville","TX","60014","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","10972","Brownsville, TX","216444","26","550249","0","0","550249",
"City of Galveston, dba: Galveston Island Transit","Galveston","TX","60015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","32491","Galveston--Texas City, TX","191863","13","0","748709","0","748709",
"City of Beaumont, dba: Beaumont Municipal Transit System","Beaumont","TX","60016","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","06058","Beaumont, TX","146649","18","287246","0","0","287246",
"Central Oklahoma Transportation and Parking Authority, dba: EMBARK","Oklahoma City","OK","60017","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","65080","Oklahoma City, OK","982276","82","32766","1931799","0","1964565",
"Metropolitan Tulsa Transit Authority, dba: Tulsa Transit, MetroLink Tulsa","Tulsa","OK","60018","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","88948","Tulsa, OK","722810","79","1666114","0","0","1666114",
"City of Albuquerque, dba: ABQRIDE","Albuquerque","NM","60019","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","01171","Albuquerque, NM","769837","128","0","0","0","0",
"Capital Area Transit System","Baton Rouge","LA","60022","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","05680","Baton Rouge, LA","631326","57","0","550000","0","550000",
"City of Lake Charles, dba: City Of Lake Charles Transit","Lake Charles","LA","60023","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","46531","Lake Charles, LA","162501","7","0","0","167297","167297",
"City of Shreveport, dba: SporTran","Shreveport","LA","60024","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","81739","Shreveport, LA","288052","50","641082","0","0","641082",
"City of Alexandria","Alexandria","LA","60025","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","01279","Alexandria, LA","78305","15","0","0","94673","94673",
"City of Monroe, dba: Monroe Transit","Monroe","LA","60026","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","58330","Monroe, LA","119964","12","0","0","120970","120970",
"New Orleans Regional Transit Authority","New Orleans","LA","60032","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","62677","New Orleans, LA","963212","156","10139998","1810550","0","11950548",
"Rock Region Metropolitan Transit Authority, dba: Rock Region METRO","North Little Rock","AR","60033","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","50392","Little Rock, AR","461864","77","51000","650000","0","701000",
"City of Pine Bluff, dba: Pine Bluff Transit","Pine Bluff","AR","60034","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00005","Arkansas Non-UZA","1787552","7","0","0","106120","106120",
"City of Wichita Falls, dba: FallsRide","Wichita Falls","TX","60035","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","95104","Wichita Falls, TX","97039","22","0","0","419434","419434",
"Lafayette City-Parish Consolidated Government, dba: Lafayette Transit System","Lafayette","LA","60038","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","46045","Lafayette, LA","227316","25","0","205045","0","205045",
"City of Abilene, dba: CityLink","Abilene","TX","60040","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00280","Abilene, TX","118138","27","0","0","739251","739251",
"City of Arlington, dba: Arlington Transportation","Arlington","TX","60041","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","22042","Dallas--Fort Worth--Arlington, TX","5732354","104","0","341663","0","341663",
"Capital Metropolitan Transportation Authority, dba: Capital Metro","Austin","TX","60048","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","04384","Austin, TX","1809888","713","0","0","0","0",
"City of Las Cruces NM, dba: RoadRUNNER Transit","Las Cruces","NM","60049","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","47935","Las Cruces, NM","139338","28","0","0","2062","2062",
"Corpus Christi Regional Transportation Authority, dba: The B","Corpus Christi","TX","60051","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","20287","Corpus Christi, TX","339066","121","0","3433","0","3433",
"Dallas Area Rapid Transit","Dallas","TX","60056","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","22042","Dallas--Fort Worth--Arlington, TX","5732354","1044","0","3816022","0","3816022",
"St. Bernard Parish, dba: St. Bernard Urban Rapid Transit","Chalmette","LA","60058","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","62677","New Orleans, LA","963212","2","0","0","87281","87281",
"Brazos Transit District","Bryan","TX","60059","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","18748","College Station--Bryan, TX","206137","67","3487231","0","0","3487231",
"University of Arkansas, Fayetteville, dba: Razorback Transit","Fayetteville","AR","60062","University","Reduced Reporter","2024","29494","Fayetteville--Springdale--Rogers, AR--MO","373687","21","0","0","881462","881462",
"City of Grand Prairie, dba: Grand Connection","Grand Prairie","TX","60068","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","22042","Dallas--Fort Worth--Arlington, TX","5732354","26","0","0","170584","170584",
"City of Mesquite","Mesquite","TX","60070","City, County or Local Government Unit or Department of Transportation","Separate Service","2024","22042","Dallas--Fort Worth--Arlington, TX","5732354","0","142452","0","0","142452",
"Ozark Regional Transit","Springdale","AR","60072","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","29494","Fayetteville--Springdale--Rogers, AR--MO","373687","26","0","0","204976","204976",
"City of Santa Fe, dba: Santa Fe Trails","Santa Fe","NM","60077","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","79363","Santa Fe, NM","94241","24","0","0","0","0",
"Terrebonne Parish Consolidated Government, dba: Good Earth Transit","Houma","LA","60080","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","40375","Houma, LA","145482","9","0","0","0","0",
"City of Longview, dba: City of Longview Transit","Longview","TX","60081","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","51256","Longview, TX","107099","8","0","0","396759","396759",
"City of Fort Smith, dba: Fort Smith Transit","Fort Smith","AR","60086","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","30925","Fort Smith, AR--OK","125811","10","0","0","221048","221048",
"Jefferson Parish, dba: Jefferson Transit","Gretna","LA","60088","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","62677","New Orleans, LA","963212","44","0","171077","0","171077",
"City of Tyler, dba: Tyler Transit","Tyler","TX","60089","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","89326","Tyler, TX","131028","22","0","0","458809","458809",
"Lower Rio Grande Valley Development Council","Weslaco","TX","60090","MPO, COG or Other Planning Agency","Full Reporter","2024","52390","McAllen, TX","779553","33","1804501","0","0","1804501",
"Hill Country Transit District, dba: The Hop","Belton","TX","60091","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","44992","Killeen, TX","257222","94","0","1539112","0","1539112",
"Texarkana Urban Transit District, dba: T-Line","Texarkana","TX","60093","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","87193","Texarkana, TX--AR","78744","10","0","0","770988","770988",
"City of Lawton, dba: Lawton Area Transit System","Lawton","OK","60094","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","48394","Lawton, OK","87464","21","0","0","0","0",
"Golden Crescent Regional Planning Commission, dba: Victoria Transit","Victoria","TX","60095","MPO, COG or Other Planning Agency","Full Reporter","2024","90514","Victoria, TX","65986","59","0","1595799","0","1595799",
"Midland-Odessa Urban Transit District, dba: EZ-Rider","Odessa","TX","60097","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","64864","Odessa, TX","154818","22","0","0","800327","800327",
"City of McAllen, dba: Metro McAllen","Mcallen","TX","60099","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","52390","McAllen, TX","779553","18","0","0","281960","281960",
"City of Farmington, dba: Red Apple Transit","Farmington","NM","60100","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","29278","Farmington, NM","51763","13","0","0","0","0",
"Denton County Transportation Authority","Lewisville","TX","60101","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","23500","Denton--Lewisville, TX","429461","215","0","279347","0","279347",
"Concho Valley Transit District","San Angelo","TX","60102","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78553","San Angelo, TX","99982","35","0","921889","0","921889",
"Fort Bend County, Texas, dba: Fort Bend Transit","Richmond","TX","60103","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","40429","Houston, TX","5853575","49","333301","0","0","333301",
"City of Jonesboro, dba: JET","Jonesboro","AR","60104","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","43345","Jonesboro, AR","73781","8","0","0","0","0",
"City of Hot Springs, dba: Hot Springs Intracity Transit","Hot Springs National Park","AR","60105","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","40213","Hot Springs, AR","59133","6","0","0","177016","177016",
"Texoma Area Paratransit System, Inc","Sherman","TX","60107","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","81631","Sherman--Denison, TX","66691","17","1186698","0","0","1186698",
"Harris County, dba: Harris County Transit","Houston","TX","60108","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","40429","Houston, TX","5853575","33","0","0","0","594052",
"St. Tammany Parish Government, dba: STAR Transit","Mandeville","LA","60109","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","82468","Slidell, LA","91587","25","0","0","0","0",
"Rio Metro Regional Transit District","Albuquerque","NM","60111","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","01171","Albuquerque, NM","769837","78","0","0","0","0",
"River Parishes Transit Authority","La Place","LA","60112","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","62677","New Orleans, LA","963212","3","0","0","0","0",
"City of Cleburne","Cleburne","TX","60113","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","22042","Dallas--Fort Worth--Arlington, TX","5732354","13","0","0","0","0",
"STAR Transit","Terrell","TX","60114","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","22042","Dallas--Fort Worth--Arlington, TX","5732354","46","0","601253","0","601253",
"Public Transit Services","Mineral Wells","TX","60115","Other Publicly-Owned or Privately Chartered Corporation","Reduced Reporter","2024","22042","Dallas--Fort Worth--Arlington, TX","5732354","17","0","0","713065","713065",
"SPAN, Incorporated","Denton","TX","60116","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","23500","Denton--Lewisville, TX","429461","30","0","0","424609","424609",
"North Central Texas Council of Governments","Arlington","TX","60117","MPO, COG or Other Planning Agency","Planning Reporter","2024","22042","Dallas-Fort Worth-Arlington, TX","5121892","0","0","0","0","0",
"City of Edmond, dba: Citylink","Edmond","OK","60118","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","65080","Oklahoma City, OK","982276","12","0","0","165146","165146",
"Westchase District","Houston","TX","60120","State Government Unit or Department of Transportation","Building Reporter","2024","40429","Houston, TX","5853575","0","0","0","0","0",
"Greater Southeast Management District","Houston","TX","60121","State Government Unit or Department of Transportation","Building Reporter","2024","40429","Houston, TX","5853575","0","0","0","0","0",
"City of Round Rock","Round Rock","TX","60125","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","04384","Austin, TX","1809888","8","0","0","0","0",
"Harris County Improvement District Number 3","Houston","TX","60126","State Government Unit or Department of Transportation","Building Reporter","2024","40429","Houston, TX","5853575","0","0","0","0","0",
"Plaquemines Parish Government","Belle Chasse","LA","60127","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","2884","2884",
"Regional Planning Commission","New Orleans","LA","60128","MPO, COG or Other Planning Agency","Planning Reporter","2024","62677","New Orleans, LA","963212","0","0","0","0","0",
"City of Conroe, dba: Conroe Connection","Conroe","TX","60129","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","87300","The Woodlands--Conroe, TX","402454","8","0","0","77544","77544",
"Alamo Area Council of Governments, dba: Alamo Regional Transit","San Antonio","TX","60130","MPO, COG or Other Planning Agency","Full Reporter","2024","61948","New Braunfels, TX","100736","47","0","1192037","0","1192037",
"St Martin, Iberia, Lafayette Community Action Agency, dba: SMILE Community Action Agency","Lafayette","LA","60132","Private-Non-Profit Corporation","Reduced Reporter","2024","46045","Lafayette, LA","227316","7","0","0","2139","2139",
